행정구역,2019년1월_총인구수,2019년2월_총인구수,2019년3월_총인구수,2019년4월_총인구수,2019년5월_총인구수,2019년6월_총인구수,2019년7월_총인구수,2019년8월_총인구수,2019년9월_총인구수,2019년10월_총인구수,2019년11월_총인구수,2019년12월_총인구수,위도,경도
서울특별시,9766288,9770638,9770216,9766886,9762062,9757144,9751415,9744888,9740398,9736289,9732577,9729107,37.56649078,126.9779451
부산광역시,3438259,3436230,3434091,3431750,3429595,3427632,3425317,3423209,3421502,3418871,3416721,3413841,35.17980529,129.0747742
대구광역시,2460382,2458138,2455829,2454154,2452291,2450478,2448666,2446745,2445270,2443528,2441581,2438031,35.8728734,128.6014289
인천광역시,2955916,2956063,2956513,2956700,2957179,2957024,2956828,2956525,2956804,2956984,2957249,2957026,37.45619113,126.7052277
광주광역시,1459832,1459208,1458930,1458940,1459003,1459024,1459486,1459438,1459632,1459360,1458915,1456468,35.16019776,126.8512965
대전광역시,1488725,1487605,1486647,1485509,1484398,1482938,1481701,1480520,1479641,1478436,1476955,1474870,36.35065542,127.3847972
울산광역시,1154786,1153735,1152800,1152293,1151685,1151301,1150891,1150294,1149873,1149409,1148922,1148019,35.53981444,129.3115169
세종특별자치시,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,36.48043597,127.2892228
경기도,13090648,13104696,13116579,13129508,13145482,13159178,13176011,13193943,13207219,13218912,13228177,13239666,37.28951221,127.0534814
강원도,1541693,1540445,1540488,1540794,1540776,1540855,1540714,1540780,1540721,1540897,1541399,1541502,37.88558569,127.7297609
충청북도,1599155,1598868,1598775,1599488,1599854,1599650,1599368,1599402,1599339,1599499,1599651,1600007,36.63600729,127.4913231
충청남도,2125797,2125372,2125778,2125912,2125732,2125855,2125349,2125160,2124855,2124619,2124302,2123709,36.66114634,126.6732661
전라북도,1834532,1832227,1830499,1829273,1827871,1826717,1825381,1823982,1822883,1821813,1820799,1818917,35.81995517,127.1081298
전라남도,1878904,1875862,1874232,1873183,1871718,1870587,1868856,1867094,1865915,1865039,1865588,1868745,34.81640355,126.4629135
경상북도,2674005,2671587,2671036,2670375,2669731,2669850,2668836,2667657,2666795,2666072,2665775,2665836,36.57621023,128.5055849
경상남도,3373214,3371016,3369949,3368933,3367857,3366989,3366286,3365282,3364039,3363883,3363274,3362553,35.2384745,128.692398
제주특별자치도,667337,667522,668120,668648,669328,669771,670209,670521,670610,670738,670895,670989,33.48904437,126.4980681
