행정구역,2021년1월_총인구수,2021년2월_총인구수,2021년3월_총인구수,2021년4월_총인구수,2021년5월_총인구수,2021년6월_총인구수,2021년7월_총인구수,2021년8월_총인구수,2021년9월_총인구수,2021년10월_총인구수,2021년11월_총인구수,2021년12월_총인구수,위도,경도
서울특별시,9657969,9648606,9598484,9588711,9575355,9565990,9558153,9550227,9542256,9532428,9520880,9509458,37.56649078,126.9779451
부산광역시,3389388,3387761,3372399,3369704,3367334,3364358,3361781,3359527,3358763,3356311,3353627,3350380,35.17980529,129.0747742
대구광역시,2415813,2413191,2408875,2406296,2402940,2397646,2395749,2393626,2392787,2390721,2388230,2385412,35.8728734,128.6014289
인천광역시,2942452,2941705,2936461,2936214,2936382,2936367,2937440,2938429,2941795,2945009,2946319,2948375,37.45619113,126.7052277
광주광역시,1449115,1447953,1445473,1444787,1443154,1442647,1442482,1441970,1442827,1442454,1442138,1441611,35.16019776,126.8512965
대전광역시,1463291,1462064,1458463,1457619,1457161,1456107,1455300,1454679,1455058,1454228,1453675,1452251,36.35065542,127.3847972
울산광역시,1135370,1132953,1129254,1128163,1127175,1126369,1125727,1124459,1123236,1122566,1122495,1121592,35.53981444,129.3115169
세종특별자치시,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,36.48043597,127.2892228
경기도,13449499,13471758,13465837,13479798,13488910,13500688,13512867,13530519,13542284,13549577,13557973,13565450,37.28951221,127.0534814
강원도,1541696,1540875,1536399,1536175,1535491,1535530,1536140,1536270,1536765,1537717,1538273,1538492,37.88558569,127.7297609
충청북도,1599658,1599122,1595714,1596303,1596955,1597503,1597501,1597179,1596765,1596948,1597019,1597427,36.63600729,127.4913231
충청남도,2119837,2119542,2115823,2116452,2117260,2117400,2118205,2118183,2118098,2118977,2119529,2119257,36.66114634,126.6732661
전라북도,1802748,1801319,1797450,1796331,1794682,1794345,1793902,1792476,1791110,1789770,1788616,1786855,35.81995517,127.1081298
전라남도,1850575,1849795,1844811,1844148,1842423,1840921,1839698,1838353,1835690,1834653,1833864,1832803,34.81640355,126.4629135
경상북도,2637639,2636747,2635563,2635896,2633592,2632401,2631649,2630254,2628344,2627925,2627468,2626609,36.57621023,128.5055849
경상남도,3338396,3336045,3330463,3329623,3327298,3325840,3324735,3322373,3319271,3318161,3316365,3314183,35.2384745,128.692398
제주특별자치도,674615,675137,673974,674484,674877,675293,675876,675883,676079,676569,676768,676759,33.48904437,126.4980681
