행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
서울특별시,9733509,9736962,9733655,9726787,9724496,9720846,9715429,9708247,9699232,9689159,9679771,9668465,37.56649078,126.9779451
부산광역시,3411819,3410925,3409932,3408347,3406942,3404423,3402776,3401072,3399749,3397598,3395514,3391946,35.17980529,129.0747742
대구광역시,2436488,2432883,2433568,2431523,2429059,2427954,2428022,2428228,2426849,2424171,2421859,2418346,35.8728734,128.6014289
인천광역시,2956119,2954955,2952689,2950972,2950063,2947217,2945565,2943491,2942553,2942233,2942307,2942828,37.45619113,126.7052277
광주광역시,1456688,1456121,1455705,1456096,1455533,1455048,1454709,1454154,1453952,1452994,1451993,1450062,35.16019776,126.8512965
대전광역시,1474152,1473125,1471858,1471650,1471915,1471040,1470225,1469431,1469099,1467556,1465893,1463882,36.35065542,127.3847972
울산광역시,1147037,1145710,1144563,1144098,1143148,1142190,1141362,1140310,1139368,1138581,1137345,1136017,35.53981444,129.3115169
세종특별자치시,342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,36.48043597,127.2892228
경기도,13250368,13265377,13288975,13311254,13324041,13338020,13351891,13370714,13388485,13400615,13413459,13427014,37.28951221,127.0534814
강원도,1540540,1539521,1538577,1537780,1538639,1539282,1540094,1540689,1541104,1541836,1542374,1542840,37.88558569,127.7297609
충청북도,1599391,1598599,1597639,1596613,1596710,1597593,1597936,1598162,1598536,1599102,1599680,1600837,36.63600729,127.4913231
충청남도,2122455,2120995,2119749,2118457,2118510,2119771,2120692,2120519,2120559,2120347,2120607,2121029,36.66114634,126.6732661
전라북도,1817302,1815112,1812936,1811619,1810097,1808802,1808044,1807094,1806441,1805937,1805204,1804104,35.81995517,127.1081298
전라남도,1864712,1861894,1859290,1857083,1855945,1854618,1853339,1851985,1851124,1850680,1850557,1851549,34.81640355,126.4629135
경상북도,2662508,2658956,2653418,2651054,2648760,2646493,2644001,2640932,2640003,2639763,2639245,2639422,36.57621023,128.5055849
경상남도,3361344,3358828,3355341,3353380,3351347,3349454,3347637,3345169,3343770,3342831,3341063,3340216,35.2384745,128.692398
제주특별자치도,670749,670876,670508,670595,670793,671316,671913,672524,672948,673606,674001,674635,33.48904437,126.4980681
