행정구역,2021년1월_남자 인구수,2021년2월_남자 인구수,2021년3월_남자 인구수,2021년4월_남자 인구수,2021년5월_남자 인구수,2021년6월_남자 인구수,2021년7월_남자 인구수,2021년8월_남자 인구수,2021년9월_남자 인구수,2021년10월_남자 인구수,2021년11월_남자 인구수,2021년12월_남자 인구수,위도,경도
서울특별시,4695999,4690282,4667524,4661711,4654720,4649442,4645177,4640740,4636069,4630630,4624290,4618040,37.56649078,126.9779451
부산광역시,1659527,1658540,1651804,1650252,1648965,1647291,1645794,1644378,1643690,1642368,1640867,1639044,35.17980529,129.0747742
대구광역시,1191656,1190244,1188070,1186663,1184977,1182380,1181351,1180223,1179640,1178486,1177136,1175632,35.8728734,128.6014289
인천광역시,1473639,1473245,1470750,1470490,1470528,1470544,1470985,1471347,1472963,1474536,1475245,1476373,37.45619113,126.7052277
광주광역시,716929,716331,715226,714834,714101,713793,713626,713286,713666,713483,713292,713015,35.16019776,126.8512965
대전광역시,730396,729663,728075,727522,727279,726666,726281,725956,726142,725742,725406,724626,36.35065542,127.3847972
울산광역시,583402,582190,580424,579853,579316,578924,578511,577806,577093,576723,576636,576217,35.53981444,129.3115169
세종특별자치시,178656,179528,180030,180462,180778,181328,181996,182430,183044,183879,184441,185678,36.48043597,127.2892228
경기도,6765862,6777066,6776866,6784466,6789327,6795088,6801008,6810105,6816449,6820025,6823931,6827298,37.28951221,127.0534814
강원도,775727,775186,773248,773037,772893,772949,773232,773260,773495,774008,774232,774332,37.88558569,127.7297609
충청북도,811057,810751,809457,809679,809946,810225,810258,810095,809981,810093,810261,810672,36.63600729,127.4913231
충청남도,1082095,1082026,1080841,1081275,1081854,1082113,1082654,1082664,1082596,1083133,1083419,1083366,36.66114634,126.6732661
전라북도,896115,895485,893974,893415,892833,892670,892487,891776,891073,890378,889824,888994,35.81995517,127.1081298
전라남도,930132,929889,927884,927667,927074,926398,925751,924912,923651,923037,922677,922221,34.81640355,126.4629135
경상북도,1328384,1328167,1327990,1328240,1327307,1326844,1326218,1325354,1324322,1324128,1324021,1323661,36.57621023,128.5055849
경상남도,1680383,1679295,1677021,1676550,1675389,1674612,1674003,1672737,1671042,1670394,1669512,1668338,35.2384745,128.692398
제주특별자치도,338553,338673,338206,338422,338566,338766,338978,338962,338975,339195,339256,339177,33.48904437,126.4980681
