행정구역,2019년1월_남자 인구수,2019년2월_남자 인구수,2019년3월_남자 인구수,2019년4월_남자 인구수,2019년5월_남자 인구수,2019년6월_남자 인구수,2019년7월_남자 인구수,2019년8월_남자 인구수,2019년9월_남자 인구수,2019년10월_남자 인구수,2019년11월_남자 인구수,2019년12월_남자 인구수,위도,경도
서울특별시,4772822,4773605,4772134,4769474,4766085,4762711,4759105,4754998,4751696,4749055,4746636,4744059,37.56649078,126.9779451
부산광역시,1690527,1689253,1687792,1686235,1684792,1683596,1682209,1681015,1679894,1678363,1677165,1675417,35.17980529,129.0747742
대구광역시,1218478,1217209,1215750,1214640,1213494,1212450,1211432,1210476,1209564,1208429,1207318,1205286,35.8728734,128.6014289
인천광역시,1482441,1482440,1482588,1482820,1483087,1482934,1482651,1482375,1482453,1482413,1482519,1482249,37.45619113,126.7052277
광주광역시,722902,722689,722511,722495,722531,722559,722801,722608,722595,722448,722168,720740,35.16019776,126.8512965
대전광역시,743851,743135,742647,742095,741504,740834,740227,739595,739110,738400,737607,736607,36.35065542,127.3847972
울산광역시,593436,592853,592362,592037,591690,591449,591161,590889,590619,590332,590098,589712,35.53981444,129.3115169
세종특별자치시,158090,159860,161056,161944,162578,163528,164832,165740,166548,167810,168916,169845,36.48043597,127.2892228
경기도,6584729,6592095,6598392,6605143,6613473,6620514,6629105,6638077,6644899,6650459,6654571,6659995,37.28951221,127.0534814
강원도,775683,774988,775015,775002,774920,774923,774779,774790,774707,774848,775250,775386,37.88558569,127.7297609
충청북도,809020,808975,809060,809567,809825,809776,809760,809905,809857,809928,810187,810384,36.63600729,127.4913231
충청남도,1081976,1082148,1082428,1082520,1082499,1082597,1082259,1082231,1082219,1082171,1082030,1081938,36.66114634,126.6732661
전라북도,912117,911110,910221,909550,908824,908163,907522,906743,906185,905592,905017,904110,35.81995517,127.1081298
전라남도,941188,939624,938881,938558,937881,937429,936541,935765,935364,934993,935574,937674,34.81640355,126.4629135
경상북도,1345392,1344344,1344255,1343986,1343742,1343822,1343416,1342782,1342456,1342074,1341962,1342037,36.57621023,128.5055849
경상남도,1697053,1696062,1695666,1695232,1694688,1694177,1693730,1693182,1692600,1692582,1692247,1692032,35.2384745,128.692398
제주특별자치도,335813,335865,336226,336429,336717,336944,337108,337206,337257,337282,337339,337345,33.48904437,126.4980681
