행정구역,2022년1월_여자 인구수,2022년2월_여자 인구수,2022년3월_여자 인구수,2022년4월_여자 인구수,2022년5월_여자 인구수,2022년6월_여자 인구수,2022년7월_여자 인구수,2022년8월_여자 인구수,2022년9월_여자 인구수,2022년10월_여자 인구수,2022년11월_여자 인구수,2022년12월_여자 인구수,위도,경도
서울특별시,4890295,4892628,4892868,4890398,4889447,4889152,4888806,4887159,4868407,4865263,4862055,4858324,37.56649078,126.9779451
부산광역시,1710667,1710285,1708546,1707044,1706342,1705793,1704952,1703623,1700042,1699537,1698790,1697897,35.17980529,129.0747742
대구광역시,1209191,1208056,1207862,1207122,1206367,1205735,1205275,1204372,1202409,1202124,1201595,1200826,35.8728734,128.6014289
인천광역시,1472487,1473546,1474427,1474746,1475739,1476634,1478403,1479747,1478201,1479362,1480717,1482139,37.45619113,126.7052277
광주광역시,728599,727833,727174,726392,725950,725693,725398,725307,724608,724532,724234,723751,35.16019776,126.8512965
대전광역시,727246,727050,726696,726297,726093,725884,725816,725754,724998,725118,725140,724827,36.35065542,127.3847972
울산광역시,545161,544281,543566,543220,542863,542457,542138,541591,540943,540747,540615,540295,35.53981444,129.3115169
세종특별자치시,187470,188541,188940,189418,190038,190492,190851,191163,191384,191575,191783,192202,36.48043597,127.2892228
경기도,6741133,6742467,6743106,6743949,6745528,6747571,6749224,6749299,6741497,6744357,6746929,6750156,37.28951221,127.0534814
강원도,764345,764508,764514,764476,764547,764659,764791,764608,763820,763848,763681,763551,37.88558569,127.7297609
충청북도,786549,786373,786480,786221,786024,785991,785877,785597,784883,784831,784553,784276,36.63600729,127.4913231
충청남도,1035396,1035405,1035346,1035326,1035365,1035489,1035974,1035873,1035513,1035908,1036281,1036405,36.66114634,126.6732661
전라북도,897101,896312,895277,894550,893755,893371,892785,892228,890552,890168,889688,889015,35.81995517,127.1081298
전라남도,910414,909698,908530,908058,907624,907023,906578,905844,903847,903161,902807,902425,34.81640355,126.4629135
경상북도,1301801,1300388,1298753,1297534,1296845,1295765,1294877,1293541,1291083,1290152,1289415,1288611,36.57621023,128.5055849
경상남도,1644470,1642098,1640128,1638826,1637416,1636370,1635511,1634245,1631848,1630841,1630042,1628818,35.2384745,128.692398
제주특별자치도,337620,337895,337898,338030,338188,338315,338540,338911,338625,338593,338615,338569,33.48904437,126.4980681
