행정구역,2019년1월_여자 인구수,2019년2월_여자 인구수,2019년3월_여자 인구수,2019년4월_여자 인구수,2019년5월_여자 인구수,2019년6월_여자 인구수,2019년7월_여자 인구수,2019년8월_여자 인구수,2019년9월_여자 인구수,2019년10월_여자 인구수,2019년11월_여자 인구수,2019년12월_여자 인구수,위도,경도
서울특별시,4993466,4997033,4998082,4997412,4995977,4994433,4992310,4989890,4988702,4987234,4985941,4985048,37.56649078,126.9779451
부산광역시,1747732,1746977,1746299,1745515,1744803,1744036,1743108,1742194,1741608,1740508,1739556,1738424,35.17980529,129.0747742
대구광역시,1241904,1240929,1240079,1239514,1238797,1238028,1237234,1236269,1235706,1235099,1234263,1232745,35.8728734,128.6014289
인천광역시,1473475,1473623,1473925,1473880,1474092,1474090,1474177,1474150,1474351,1474571,1474730,1474777,37.45619113,126.7052277
광주광역시,736930,736519,736419,736445,736472,736465,736685,736830,737037,736912,736747,735728,35.16019776,126.8512965
대전광역시,744874,744470,744000,743414,742894,742104,741474,740925,740531,740036,739348,738263,36.35065542,127.3847972
울산광역시,561350,560882,560438,560256,559995,559852,559730,559405,559254,559077,558824,558307,35.53981444,129.3115169
세종특별자치시,158724,160466,161637,162473,163199,164115,165466,166358,167209,168546,169731,170730,36.48043597,127.2892228
경기도,6505919,6512601,6518187,6524365,6532009,6538664,6546906,6555866,6562320,6568453,6573606,6579671,37.28951221,127.0534814
강원도,766010,765457,765473,765792,765856,765932,765935,765990,766014,766049,766149,766116,37.88558569,127.7297609
충청북도,790135,789893,789715,789921,790029,789874,789608,789497,789482,789571,789464,789623,36.63600729,127.4913231
충청남도,1043821,1043224,1043350,1043392,1043233,1043258,1043090,1042929,1042636,1042448,1042272,1041771,36.66114634,126.6732661
전라북도,922415,921117,920278,919723,919047,918554,917859,917239,916698,916221,915782,914807,35.81995517,127.1081298
전라남도,937716,936238,935351,934625,933837,933158,932315,931329,930551,930046,930014,931071,34.81640355,126.4629135
경상북도,1328613,1327243,1326781,1326389,1325989,1326028,1325420,1324875,1324339,1323998,1323813,1323799,36.57621023,128.5055849
경상남도,1676161,1674954,1674283,1673701,1673169,1672812,1672556,1672100,1671439,1671301,1671027,1670521,35.2384745,128.692398
제주특별자치도,331524,331657,331894,332219,332611,332827,333101,333315,333353,333456,333556,333644,33.48904437,126.4980681
