행정구역,2020년1월_여자 인구수,2020년2월_여자 인구수,2020년3월_여자 인구수,2020년4월_여자 인구수,2020년5월_여자 인구수,2020년6월_여자 인구수,2020년7월_여자 인구수,2020년8월_여자 인구수,2020년9월_여자 인구수,2020년10월_여자 인구수,2020년11월_여자 인구수,2020년12월_여자 인구수,위도,경도
서울특별시,4988421,4991829,4991438,4988944,4989065,4988571,4986557,4983662,4980062,4975443,4971450,4966742,37.56649078,126.9779451
부산광역시,1737617,1737659,1737680,1737148,1736767,1735805,1735163,1734610,1734195,1733321,1732459,1730946,35.17980529,129.0747742
대구광역시,1232101,1230519,1231295,1230624,1229555,1229139,1229401,1229566,1228935,1227725,1226778,1225237,35.8728734,128.6014289
인천광역시,1474370,1473822,1472850,1472056,1471756,1470404,1469728,1468871,1468448,1468399,1468512,1468885,37.45619113,126.7052277
광주광역시,735757,735435,735245,735560,735233,734988,734849,734553,734507,734082,733623,732714,35.16019776,126.8512965
대전광역시,737893,737334,736679,736748,736975,736599,736217,735884,735743,735004,734192,733183,36.35065542,127.3847972
울산광역시,557804,557084,556436,556196,555714,555251,554829,554388,553981,553618,553040,552309,35.53981444,129.3115169
세종특별자치시,171599,172385,172841,173040,173104,173107,173557,174049,174401,175872,177094,178263,36.48043597,127.2892228
경기도,6585058,6592671,6604216,6614723,6620438,6626973,6634079,6643488,6652408,6658766,6665398,6672545,37.28951221,127.0534814
강원도,765674,765163,764594,764312,764716,764957,765181,765576,765780,766157,766295,766335,37.88558569,127.7297609
충청북도,789262,788794,788270,787608,787596,787936,788095,788139,788234,788574,788777,789246,36.63600729,127.4913231
충청남도,1040903,1039842,1039044,1038201,1038085,1038547,1038940,1038712,1038530,1038380,1038296,1038395,36.66114634,126.6732661
전라북도,913917,912747,911684,910991,910203,909665,909325,908798,908393,908167,907811,907230,35.81995517,127.1081298
전라남도,928750,926994,925394,924113,923449,922720,922059,921519,921048,920769,920571,920934,34.81640355,126.4629135
경상북도,1322162,1320049,1317129,1316073,1314945,1313713,1312540,1311013,1310595,1310506,1310306,1310211,36.57621023,128.5055849
경상남도,1669840,1668228,1666204,1665202,1664058,1663123,1662210,1661035,1660507,1660098,1659344,1658793,35.2384745,128.692398
제주특별자치도,333518,333581,333453,333476,333682,333973,334326,334702,335016,335416,335689,336026,33.48904437,126.4980681
