행정구역,2020년1월_남자 인구수,2020년2월_남자 인구수,2020년3월_남자 인구수,2020년4월_남자 인구수,2020년5월_남자 인구수,2020년6월_남자 인구수,2020년7월_남자 인구수,2020년8월_남자 인구수,2020년9월_남자 인구수,2020년10월_남자 인구수,2020년11월_남자 인구수,2020년12월_남자 인구수,위도,경도
서울특별시,4745088,4745133,4742217,4737843,4735431,4732275,4728872,4724585,4719170,4713716,4708321,4701723,37.56649078,126.9779451
부산광역시,1674202,1673266,1672252,1671199,1670175,1668618,1667613,1666462,1665554,1664277,1663055,1661000,35.17980529,129.0747742
대구광역시,1204387,1202364,1202273,1200899,1199504,1198815,1198621,1198662,1197914,1196446,1195081,1193109,35.8728734,128.6014289
인천광역시,1481749,1481133,1479839,1478916,1478307,1476813,1475837,1474620,1474105,1473834,1473795,1473943,37.45619113,126.7052277
광주광역시,720931,720686,720460,720536,720300,720060,719860,719601,719445,718912,718370,717348,35.16019776,126.8512965
대전광역시,736259,735791,735179,734902,734940,734441,734008,733547,733356,732552,731701,730699,36.35065542,127.3847972
울산광역시,589233,588626,588127,587902,587434,586939,586533,585922,585387,584963,584305,583708,35.53981444,129.3115169
세종특별자치시,170729,171403,171951,172176,172269,172234,172660,173183,173613,175135,176336,177568,36.48043597,127.2892228
경기도,6665310,6672706,6684759,6696531,6703603,6711047,6717812,6727226,6736077,6741849,6748061,6754469,37.28951221,127.0534814
강원도,774866,774358,773983,773468,773923,774325,774913,775113,775324,775679,776079,776505,37.88558569,127.7297609
충청북도,810129,809805,809369,809005,809114,809657,809841,810023,810302,810528,810903,811591,36.63600729,127.4913231
충청남도,1081552,1081153,1080705,1080256,1080425,1081224,1081752,1081807,1082029,1081967,1082311,1082634,36.66114634,126.6732661
전라북도,903385,902365,901252,900628,899894,899137,898719,898296,898048,897770,897393,896874,35.81995517,127.1081298
전라남도,935962,934900,933896,932970,932496,931898,931280,930466,930076,929911,929986,930615,34.81640355,126.4629135
경상북도,1340346,1338907,1336289,1334981,1333815,1332780,1331461,1329919,1329408,1329257,1328939,1329211,36.57621023,128.5055849
경상남도,1691504,1690600,1689137,1688178,1687289,1686331,1685427,1684134,1683263,1682733,1681719,1681423,35.2384745,128.692398
제주특별자치도,337231,337295,337055,337119,337111,337343,337587,337822,337932,338190,338312,338609,33.48904437,126.4980681
