행정구역,2021년01월_총인구수,2021년01월_남자 인구수,2021년01월_여자 인구수,2021년02월_총인구수,2021년02월_남자 인구수,2021년02월_여자 인구수,2021년03월_총인구수,2021년03월_남자 인구수,2021년03월_여자 인구수,2021년04월_총인구수,2021년04월_남자 인구수,2021년04월_여자 인구수,2021년05월_총인구수,2021년05월_남자 인구수,2021년05월_여자 인구수,2021년06월_총인구수,2021년06월_남자 인구수,2021년06월_여자 인구수,2021년07월_총인구수,2021년07월_남자 인구수,2021년07월_여자 인구수,2021년08월_총인구수,2021년08월_남자 인구수,2021년08월_여자 인구수,2021년09월_총인구수,2021년09월_남자 인구수,2021년09월_여자 인구수,2021년10월_총인구수,2021년10월_남자 인구수,2021년10월_여자 인구수,2021년11월_총인구수,2021년11월_남자 인구수,2021년11월_여자 인구수,2021년12월_총인구수,2021년12월_남자 인구수,2021년12월_여자 인구수,위도,경도
서울특별시 종로구,149125,72528,76597,148884,72372,76512,147296,71644,75652,147113,71567,75546,146377,71204,75173,146029,70985,75044,145692,70810,74882,145551,70715,74836,145512,70666,74846,145346,70552,74794,145073,70393,74680,144683,70183,74500,37.57364689,126.978984
서울특별시 중구,125038,61122,63916,124836,61018,63818,124552,60851,63701,124477,60787,63690,123133,60106,63027,123016,60019,62997,122951,59945,63006,122852,59868,62984,122858,59853,63005,122781,59802,62979,122673,59743,62930,122499,59630,62869,37.5639284,126.9975517
서울특별시 용산구,230045,110700,119345,230113,110646,119467,229013,110181,118832,228755,110038,118717,227515,109494,118021,226378,108948,117430,225977,108709,117268,224977,108220,116757,224145,107801,116344,223713,107607,116106,223442,107486,115956,222953,107210,115743,37.53253057,126.9907138
서울특별시 성동구,293103,143151,149952,292537,142904,149633,291906,142506,149400,291534,142277,149257,289656,141358,148298,289162,141042,148120,288703,140811,147892,288214,140517,147697,287820,140290,147530,287174,139958,147216,286599,139709,146890,285990,139380,146610,37.56361329,127.0369234
서울특별시 광진구,346067,166964,179103,345248,166535,178713,343392,165747,177645,343006,165555,177451,342812,165461,177351,342481,165233,177248,342111,165039,177072,341505,164748,176757,341112,164553,176559,340814,164425,176389,340339,164212,176127,339996,164058,175938,37.53857836,127.0821862
서울특별시 동대문구,342034,169337,172697,341756,169139,172617,338875,167895,170980,338480,167643,170837,338233,167463,170770,338040,167335,170705,337946,167252,170694,337857,167140,170717,337846,167083,170763,337538,166842,170696,337316,166591,170725,337400,166646,170754,37.57441406,127.0398434
서울특별시 중랑구,394532,194990,199542,393933,194665,199268,392041,193752,198289,391502,193444,198058,390476,192923,197553,389972,192688,197284,389428,192355,197073,388911,192060,196851,388554,191832,196722,388218,191601,196617,387667,191305,196362,387350,191112,196238,37.60648307,127.0931308
서울특별시 성북구,437684,211123,226561,437961,211283,226678,434826,209902,224924,434383,209667,224716,433988,209407,224581,433658,209210,224448,433361,209004,224357,432815,208711,224104,432628,208592,224036,432081,208308,223773,431313,207979,223334,430528,207578,222950,37.58960402,127.0167645
서울특별시 강북구,307487,149822,157665,306639,149427,157212,304078,148306,155772,303622,148033,155589,303154,147824,155330,302645,147542,155103,302113,147237,154876,301430,146919,154511,300887,146613,154274,300278,146240,154038,299792,146000,153792,299182,145705,153477,37.6399466,127.0255077
서울특별시 도봉구,324281,158103,166178,323431,157603,165828,321717,156810,164907,321227,156570,164657,320687,156282,164405,320365,156080,164285,319893,155869,164024,319211,155523,163688,318718,155212,163506,318299,154970,163329,317943,154794,163149,317366,154487,162879,37.66898579,127.0470495
서울특별시 노원구,521852,251763,270089,520366,250929,269437,518278,249942,268336,517417,249522,267895,516552,249029,267523,515997,248719,267278,515198,248250,266948,514050,247676,266374,513053,247118,265935,512129,246650,265479,511275,246182,265093,510956,246053,264903,37.65423107,127.0565938
서울특별시 은평구,479223,229827,249396,478336,229318,249018,475501,227910,247591,474843,227446,247397,475143,227496,247647,475371,227584,247787,475008,227339,247669,474414,226964,247450,474062,226833,247229,473369,226514,246855,473468,226555,246913,473307,226458,246849,37.60291898,126.929256
서울특별시 서대문구,311720,149211,162509,311132,148908,162224,308482,147655,160827,307825,147264,160561,307406,147056,160350,307070,146844,160226,306839,146724,160115,306472,146553,159919,306249,146388,159861,305840,146208,159632,305443,145990,159453,304819,145694,159125,37.57943924,126.9365268
서울특별시 마포구,371492,174958,196534,371200,174741,196459,368518,173624,194894,369577,174050,195527,369970,174194,195776,370132,174200,195932,370185,174291,195894,370053,174204,195849,369903,174119,195784,369695,173985,195710,369238,173725,195513,368905,173504,195401,37.56628642,126.9014899
서울특별시 양천구,453382,222417,230965,454270,222789,231481,452677,222010,230667,452112,221708,230404,451541,221431,230110,450992,221140,229852,450431,220815,229616,449603,220421,229182,449010,220075,228935,448634,219862,228772,448061,219606,228455,447302,219214,228088,37.51714651,126.8665429
서울특별시 강서구,579176,279458,299718,579082,279269,299813,577320,278444,298876,577580,278466,299114,577484,278408,299076,577519,278360,299159,577058,278142,298916,576361,277705,298656,575875,277388,298487,575370,277041,298329,574789,276624,298165,574315,276292,298023,37.55110585,126.8495849
서울특별시 구로구,403518,199243,204275,402642,198687,203955,401074,198034,203040,400399,197653,202746,399950,197398,202552,399266,197034,202232,398744,196713,202031,397887,196249,201638,397506,196027,201479,397330,195909,201421,397058,195741,201317,396754,195537,201217,37.49570011,126.8876391
서울특별시 금천구,231634,117141,114493,231290,116950,114340,229844,116322,113522,229639,116211,113428,229823,116292,113531,230168,116491,113677,230665,116699,113966,230759,116714,114045,230644,116588,114056,230740,116588,114152,230839,116574,114265,230811,116527,114284,37.45695405,126.895379
서울특별시 영등포구,380169,187960,192209,380443,188029,192414,377590,186692,190898,377696,186652,191044,377577,186564,191013,377421,186482,190939,377408,186432,190976,377655,186526,191129,377536,186414,191122,377524,186390,191134,377048,186047,191001,376837,185926,190911,37.52652266,126.8962345
서울특별시 동작구,390433,188743,201690,389754,188428,201326,388730,188045,200685,388672,188032,200640,388396,187942,200454,387847,187617,200230,387810,187614,200196,387558,187510,200048,387117,187286,199831,386246,186863,199383,386051,186710,199341,385483,186426,199057,37.51261701,126.9397997
서울특별시 관악구,494175,247853,246322,493374,247472,245902,490352,246097,244255,489464,245666,243798,489160,245552,243608,488800,245404,243396,488525,245370,243155,488304,245308,242996,488029,245220,242809,487357,244844,242513,486427,244367,242060,485699,243991,241708,37.47828858,126.9514609
서울특별시 서초구,424707,203097,221610,423829,202692,221137,421315,201619,219696,420318,201075,219243,419121,200485,218636,418407,200163,218244,418294,200107,218187,417568,199722,217846,416285,199068,217217,415083,198470,216613,413363,197606,215757,412279,197034,215245,37.48375739,127.0326987
서울특별시 강남구,538536,257647,280889,537879,257231,280648,534796,255880,278916,533579,255243,278336,532296,254558,277738,531375,254139,277236,530529,253799,276730,532818,254936,277882,533359,255264,278095,533878,255473,278405,533557,255319,278238,533042,255047,277995,37.51768528,127.047386
서울특별시 송파구,667222,321948,345274,665463,320991,344472,661411,319047,342364,660160,318374,341786,659446,317981,341465,658670,317531,341139,658093,317209,340884,658991,317635,341356,659385,317784,341601,659239,317773,341466,658841,317596,341245,658338,317346,340992,37.5146405,127.105894
서울특별시 강동구,461334,226893,234441,464208,228256,235952,464900,228609,236291,465331,228768,236563,465459,228812,236647,465209,228652,236557,465191,228642,236549,464411,228196,236215,464163,228002,236161,463752,227755,235997,463265,227436,235829,462664,227002,235662,37.53028931,127.1237639
부산광역시 중구,41549,20269,21280,41551,20262,21289,41370,20169,21201,41311,20122,21189,41209,20065,21144,40561,19799,20762,40666,19862,20804,40713,19862,20851,40708,19863,20845,40676,19838,20838,40556,19777,20779,40524,19755,20769,35.10653923,129.0322797
부산광역시 서구,107978,52295,55683,107824,52194,55630,106451,51583,54868,106545,51621,54924,106556,51591,54965,106422,51510,54912,106314,51476,54838,105996,51308,54688,105813,51212,54601,105557,51084,54473,105406,50990,54416,105164,50853,54311,35.09811743,129.0242148
부산광역시 동구,88763,43462,45301,88639,43370,45269,88218,43213,45005,88159,43185,44974,88080,43109,44971,87916,43012,44904,87764,42907,44857,87585,42817,44768,87595,42854,44741,87705,42908,44797,87770,42946,44824,87679,42877,44802,35.12951925,129.0454126
부산광역시 영도구,113048,55697,57351,112809,55571,57238,111507,54997,56510,111387,54958,56429,111574,55016,56558,111685,55061,56624,111580,54999,56581,111386,54888,56498,111210,54786,56424,111111,54707,56404,110901,54612,56289,110638,54471,56167,35.09140559,129.0678947
부산광역시 부산진구,359978,173861,186117,360025,173763,186262,357645,172703,184942,357193,172498,184695,356706,172228,184478,356091,171921,184170,355589,171638,183951,355138,171257,183881,354924,171079,183845,354428,170785,183643,353769,170491,183278,353159,170181,182978,35.16304228,129.0530903
부산광역시 동래구,270695,131698,138997,270678,131712,138966,269497,131207,138290,268996,130880,138116,268616,130672,137944,268391,130542,137849,267994,130335,137659,267672,130155,137517,267425,130024,137401,266912,129758,137154,266570,129568,137002,266866,129681,137185,35.1967203,129.0930973
부산광역시 남구,267351,130792,136559,266989,130623,136366,265759,130080,135679,265194,129786,135408,264679,129523,135156,264098,129199,134899,263764,128982,134782,263333,128710,134623,263262,128663,134599,263236,128616,134620,262856,128411,134445,262069,127955,134114,35.1367524,129.0844303
부산광역시 북구,283452,140245,143207,282799,139828,142971,281851,139355,142496,282073,139491,142582,283138,140032,143106,283612,140238,143374,283696,140241,143455,283901,140302,143599,283937,140255,143682,283766,140183,143583,283584,140023,143561,283211,139795,143416,35.19746596,128.9902986
부산광역시 해운대구,401710,193341,208369,401280,193072,208208,400083,192576,207507,399821,192392,207429,399222,192102,207120,399015,191985,207030,398645,191773,206872,398117,191483,206634,397918,191304,206614,397516,191154,206362,397071,190933,206138,396438,190624,205814,35.16335254,129.1638847
부산광역시 사하구,311052,154893,156159,310740,154760,155980,309302,154063,155239,308684,153718,154966,308036,153413,154623,307559,153124,154435,306866,152755,154111,306885,152766,154119,306843,152726,154117,306605,152569,154036,306421,152471,153950,306003,152197,153806,35.1045808,128.9749752
부산광역시 금정구,231959,113238,118721,231743,113219,118524,230605,112741,117864,230204,112515,117689,229704,112308,117396,229222,112056,117166,229228,112049,117179,229240,112060,117180,229350,112095,117255,229148,111981,117167,228936,111882,117054,228049,111513,116536,35.2430003,129.0921739
부산광역시 강서구,138610,71620,66990,139088,71882,67206,139239,72000,67239,139652,72239,67413,140215,72541,67674,140720,72824,67896,141226,73100,68126,141688,73380,68308,142104,73623,68481,142444,73811,68633,142768,73971,68797,142918,74047,68871,35.21241036,128.9804872
