행정구역,2019년1월_총인구수,2019년2월_총인구수,2019년3월_총인구수,2019년4월_총인구수,2019년5월_총인구수,2019년6월_총인구수,2019년7월_총인구수,2019년8월_총인구수,2019년9월_총인구수,2019년10월_총인구수,2019년11월_총인구수,2019년12월_총인구수,위도,경도
종로구,152866,152880,152778,152495,152220,152026,151858,151766,151767,151541,151457,151290,37.57364689,126.978984
중구,125872,125995,125942,125913,125808,126143,126414,126412,126409,126270,126209,126171,37.5639284,126.9975517
용산구,229167,229279,229168,228940,228926,229122,229155,229117,228830,228594,228507,228670,37.53253057,126.9907138
성동구,307723,307064,306404,305785,305436,304936,304292,303730,303158,302198,301527,300889,37.56361329,127.0369234
광진구,355382,355387,354873,354344,354158,353878,353206,353002,352692,352204,351699,351350,37.53857836,127.0821862
동대문구,347415,347459,346750,346312,346301,346501,346524,346649,346551,346152,346166,346194,37.57441406,127.0398434
중랑구,402974,402616,402203,401546,400933,400661,399878,399195,398812,397938,397297,397015,37.60648307,127.0931308
성북구,435270,435754,438245,439754,440082,440397,441170,441503,441590,443000,443111,442650,37.58960402,127.0167645
강북구,318761,318268,317386,316604,316044,315587,315003,314538,314090,314189,314306,313954,37.6399466,127.0255077
도봉구,338834,338373,337820,337346,337072,336698,336288,335801,335280,334553,333902,333362,37.66898579,127.0470495
노원구,542744,541800,541174,539884,539130,538350,537146,535920,535282,533904,533498,532905,37.65423107,127.0565938
은평구,483513,484070,484274,484267,483972,483730,483084,481856,481663,481218,480701,480032,37.60291898,126.929256
서대문구,310809,311700,311771,311586,311308,311215,310795,310477,310069,309637,309312,309397,37.57943924,126.9365268
마포구,375272,375372,375106,374824,374719,374422,373756,373200,373629,373852,374028,374035,37.56628642,126.9014899
양천구,463608,463103,462599,462126,461532,461051,460721,460375,459849,459146,458691,458165,37.51714651,126.8665429
강서구,596862,596602,596287,596233,596109,595602,595057,594299,593708,593030,592309,591796,37.55110585,126.8495849
구로구,404049,403668,404726,405516,405348,405415,405757,406359,406748,406889,407090,406664,37.49570011,126.8876391
금천구,234153,234157,233981,234173,234133,234079,233827,233574,233371,233017,232889,232810,37.45695405,126.895379
영등포구,368049,368437,368824,368874,369064,369017,368895,368566,368402,368052,367800,367678,37.52652266,126.8962345
동작구,397435,398685,398886,399118,399084,398885,398433,397926,397618,397139,396460,395963,37.51261701,126.9397997
관악구,501999,502435,502615,502251,502329,502089,502212,502393,502117,501241,500803,500094,37.47828858,126.9514609
