행정구역,2022년1월_여자 인구수,2022년2월_여자 인구수,2022년3월_여자 인구수,2022년4월_여자 인구수,2022년5월_여자 인구수,2022년6월_여자 인구수,2022년7월_여자 인구수,2022년8월_여자 인구수,2022년9월_여자 인구수,2022년10월_여자 인구수,2022년11월_여자 인구수,2022년12월_여자 인구수,위도,경도
서울특별시 종로구,74426,74483,74364,74283,74212,74111,74084,74091,73326,73260,73162,72984,37.57364689,126.978984
서울특별시 중구,62805,62721,62725,62670,62686,62724,62778,62651,62157,62005,61935,61874,37.5639284,126.9975517
서울특별시 용산구,115523,115532,115434,115364,115417,115520,115519,115544,113890,113799,113723,113563,37.53253057,126.9907138
서울특별시 성동구,146381,146271,146226,145992,145800,145659,145572,145553,144899,144619,144469,144367,37.56361329,127.0369234
서울특별시 광진구,176009,176268,176361,176205,175971,175973,175971,175875,175219,175056,175014,174875,37.53857836,127.0821862
서울특별시 동대문구,170762,171029,171159,171016,170996,170982,170962,171063,171055,171160,171171,170889,37.57441406,127.0398434
서울특별시 중랑구,196377,196924,197208,197200,197161,197076,197114,196909,196275,196107,195891,195781,37.60648307,127.0931308
서울특별시 성북구,222741,223681,224459,224569,224729,224769,224838,224811,224112,223997,223778,223436,37.58960402,127.0167645
서울특별시 강북구,153227,153008,152741,152547,152498,152499,152382,152212,151657,151429,151208,151093,37.6399466,127.0255077
서울특별시 도봉구,162824,162585,162382,162077,161910,161777,161725,161340,160769,160616,160491,160296,37.66898579,127.0470495
서울특별시 노원구,264909,264783,264823,264436,264060,263679,263437,263234,262432,262232,261975,261589,37.65423107,127.0565938
서울특별시 은평구,246853,246699,246619,247122,247487,247526,247464,247222,245865,245224,244653,244154,37.60291898,126.929256
서울특별시 서대문구,159354,159748,159908,159882,159934,159960,160005,160305,159775,159826,160099,160521,37.57943924,126.9365268
서울특별시 마포구,195294,195278,195258,194889,194900,195015,194922,194873,193921,193636,193459,193595,37.56628642,126.9014899
서울특별시 양천구,227872,227692,227628,227364,227005,226844,226738,226579,225786,225616,225480,225199,37.51714651,126.8665429
서울특별시 강서구,297869,297821,297624,297547,297760,297812,297674,297459,296548,296367,296099,295963,37.55110585,126.8495849
서울특별시 구로구,201164,201057,201015,200792,200628,200546,200534,200311,199858,200378,200744,201041,37.49570011,126.8876391
서울특별시 금천구,114394,114407,114530,114552,114671,114754,114756,114703,114295,114094,113956,113856,37.45695405,126.895379
서울특별시 영등포구,190985,191060,191044,190945,190936,190977,191143,191541,191117,191004,191019,191015,37.52652266,126.8962345
서울특별시 동작구,199026,199093,199369,199424,199300,199392,199280,199111,198147,197649,197108,196566,37.51261701,126.9397997
서울특별시 관악구,241643,241922,241966,241862,242058,242224,242247,242453,241977,242221,242069,242004,37.47828858,126.9514609
서울특별시 서초구,214928,214471,214017,213529,213077,212853,212719,212316,211528,211437,211371,211166,37.48375739,127.0326987
서울특별시 강남구,278066,278127,277711,277532,277397,277444,277700,277770,276475,276376,276249,276030,37.51768528,127.047386
서울특별시 송파구,341303,342601,343200,343428,343499,343564,343647,343435,342239,342045,341917,341621,37.5146405,127.105894
서울특별시 강동구,235560,235367,235097,235171,235355,235472,235595,235798,235085,235110,235015,234846,37.53028931,127.1237639
부산광역시 중구,20775,20826,20842,20840,20798,20760,20709,20695,20614,20559,20517,20450,35.10653923,129.0322797
부산광역시 서구,54128,54021,53869,53698,53654,53955,54167,54482,54463,54447,54420,54391,35.09811743,129.0242148
부산광역시 동구,44931,45113,45131,45143,45149,45077,44963,44890,44513,44436,44289,44213,35.12951925,129.0454126
부산광역시 영도구,56053,55806,55628,55524,55548,55505,55473,55358,55180,55114,54994,54933,35.09140559,129.0678947
부산광역시 부산진구,182589,182268,181969,181965,182039,182075,182265,182462,182229,183455,184369,184776,35.16304228,129.0530903
부산광역시 동래구,138938,140833,141026,140980,141105,141386,141532,141520,141287,141158,141007,140930,35.1967203,129.0930973
부산광역시 남구,133641,133329,133302,133305,133142,132881,132590,132378,132033,131633,131368,131215,35.1367524,129.0844303
부산광역시 북구,143123,142737,142479,142317,142224,142192,142109,142048,142016,141962,141759,141583,35.19746596,128.9902986
부산광역시 해운대구,205552,205090,204610,204219,203769,203405,203150,202725,202001,201752,201522,201271,35.16335254,129.1638847
부산광역시 사하구,153810,153891,153711,153623,153511,153358,153152,152893,152495,152377,152171,151978,35.1045808,128.9749752
부산광역시 금정구,115946,115528,115307,114997,114898,114611,114385,114209,113900,113641,113353,113171,35.2430003,129.0921739
부산광역시 강서구,68975,69066,69206,69278,69380,69421,69461,69366,69216,69141,69028,68959,35.21241036,128.9804872
부산광역시 연제구,107481,107464,107383,107315,107242,107051,106955,106794,106531,106307,106080,105932,35.17640584,129.0796413
부산광역시 수영구,92375,92387,92362,92348,92368,92418,92439,92414,92266,92514,92689,92662,35.14574351,129.1131838
부산광역시 사상구,103003,102692,102587,102382,102258,102093,101901,101663,101301,101000,101092,101245,35.15280367,128.9911898
부산광역시 기장군,89347,89234,89134,89110,89257,89605,89701,89726,89997,90041,90132,90188,35.24482811,129.2222634
대구광역시 중구,38860,38840,39369,40485,40936,41064,41064,41043,40966,41237,41507,41739,35.86947505,128.6060564
대구광역시 동구,173756,173736,173681,173473,173437,173518,173401,173248,173060,173092,172997,172789,35.88681859,128.6355584
대구광역시 서구,82120,81908,81623,81274,81042,80919,81145,81117,80825,80677,80474,80247,35.87200214,128.5592204
대구광역시 남구,74187,74094,74076,73760,73653,73535,73729,73747,73694,73851,73806,73677,35.84618324,128.5973754
대구광역시 북구,219607,219437,219685,219321,219111,218717,218268,217931,217502,217270,217110,216761,35.88430565,128.5815912
대구광역시 수성구,215175,215128,214774,214756,214591,214409,214164,213810,213364,213119,212890,212822,35.85823498,128.6305627
대구광역시 달서구,276232,275838,275313,274570,274057,273822,273749,273745,273345,273073,272987,273028,35.82992525,128.5326441
대구광역시 달성군,129254,129075,129341,129483,129540,129751,129755,129731,129653,129805,129824,129763,35.77475899,128.4313244
인천광역시 중구,69186,69601,69972,70342,70680,70928,71414,71683,72285,72719,73215,73572,37.47393798,126.6215171
인천광역시 동구,30381,30201,29955,29707,29430,29275,29173,29074,29002,29072,29206,29308,37.4740331,126.6432655
