행정구역,2021년1월_총인구수,2021년2월_총인구수,2021년3월_총인구수,2021년4월_총인구수,2021년5월_총인구수,2021년6월_총인구수,2021년7월_총인구수,2021년8월_총인구수,2021년9월_총인구수,2021년10월_총인구수,2021년11월_총인구수,2021년12월_총인구수,위도,경도
종로구,149125,148884,147296,147113,146377,146029,145692,145551,145512,145346,145073,144683,37.57364689,126.978984
중구,125038,124836,124552,124477,123133,123016,122951,122852,122858,122781,122673,122499,37.5639284,126.9975517
용산구,230045,230113,229013,228755,227515,226378,225977,224977,224145,223713,223442,222953,37.53253057,126.9907138
성동구,293103,292537,291906,291534,289656,289162,288703,288214,287820,287174,286599,285990,37.56361329,127.0369234
광진구,346067,345248,343392,343006,342812,342481,342111,341505,341112,340814,340339,339996,37.53857836,127.0821862
동대문구,342034,341756,338875,338480,338233,338040,337946,337857,337846,337538,337316,337400,37.57441406,127.0398434
중랑구,394532,393933,392041,391502,390476,389972,389428,388911,388554,388218,387667,387350,37.60648307,127.0931308
성북구,437684,437961,434826,434383,433988,433658,433361,432815,432628,432081,431313,430528,37.58960402,127.0167645
강북구,307487,306639,304078,303622,303154,302645,302113,301430,300887,300278,299792,299182,37.6399466,127.0255077
도봉구,324281,323431,321717,321227,320687,320365,319893,319211,318718,318299,317943,317366,37.66898579,127.0470495
노원구,521852,520366,518278,517417,516552,515997,515198,514050,513053,512129,511275,510956,37.65423107,127.0565938
은평구,479223,478336,475501,474843,475143,475371,475008,474414,474062,473369,473468,473307,37.60291898,126.929256
서대문구,311720,311132,308482,307825,307406,307070,306839,306472,306249,305840,305443,304819,37.57943924,126.9365268
마포구,371492,371200,368518,369577,369970,370132,370185,370053,369903,369695,369238,368905,37.56628642,126.9014899
양천구,453382,454270,452677,452112,451541,450992,450431,449603,449010,448634,448061,447302,37.51714651,126.8665429
강서구,579176,579082,577320,577580,577484,577519,577058,576361,575875,575370,574789,574315,37.55110585,126.8495849
구로구,403518,402642,401074,400399,399950,399266,398744,397887,397506,397330,397058,396754,37.49570011,126.8876391
금천구,231634,231290,229844,229639,229823,230168,230665,230759,230644,230740,230839,230811,37.45695405,126.895379
영등포구,380169,380443,377590,377696,377577,377421,377408,377655,377536,377524,377048,376837,37.52652266,126.8962345
동작구,390433,389754,388730,388672,388396,387847,387810,387558,387117,386246,386051,385483,37.51261701,126.9397997
관악구,494175,493374,490352,489464,489160,488800,488525,488304,488029,487357,486427,485699,37.47828858,126.9514609
