행정구역,2020년1월_여자 인구수,2020년2월_여자 인구수,2020년3월_여자 인구수,2020년4월_여자 인구수,2020년5월_여자 인구수,2020년6월_여자 인구수,2020년7월_여자 인구수,2020년8월_여자 인구수,2020년9월_여자 인구수,2020년10월_여자 인구수,2020년11월_여자 인구수,2020년12월_여자 인구수,위도,경도
서울특별시 종로구,77527,77580,77513,77373,77216,77095,76969,76900,76928,76856,76808,76749,37.57364689,126.978984
서울특별시 중구,64255,64295,64336,64356,64373,64395,64326,64339,64274,64209,64142,64018,37.5639284,126.9975517
서울특별시 용산구,118684,118904,118912,118765,118856,118904,118994,118959,119182,119290,119375,119318,37.53253057,126.9907138
서울특별시 성동구,153390,153109,152742,152416,152253,152139,151866,151482,151147,150836,150527,150169,37.56361329,127.0369234
서울특별시 광진구,181099,181032,180849,180803,180751,180695,180492,180175,179969,179821,179659,179372,37.53857836,127.0821862
서울특별시 동대문구,174116,174237,174260,174172,174250,174201,174022,173724,173668,173499,173289,173068,37.57441406,127.0398434
서울특별시 중랑구,199952,199831,199543,199288,199289,199065,199066,199857,200016,199854,199725,199537,37.60648307,127.0931308
서울특별시 성북구,228224,228405,228568,228431,228534,228381,228155,227836,227568,227193,226762,226343,37.58960402,127.0167645
서울특별시 강북구,160647,160432,160238,160097,159937,159745,159491,159179,158879,158501,158146,157912,37.6399466,127.0255077
서울특별시 도봉구,170052,169756,169359,169126,168954,168705,168357,167925,167525,167261,167006,166637,37.66898579,127.0470495
서울특별시 노원구,274916,274575,274311,273958,273572,273263,272854,272255,271689,271296,270916,270654,37.65423107,127.0565938
서울특별시 은평구,248286,248238,247872,247916,247967,248884,249800,250221,250182,250002,249854,249556,37.60291898,126.929256
서울특별시 서대문구,161239,161895,162591,162740,162811,162800,162590,162829,163219,162990,162820,162813,37.57943924,126.9365268
서울특별시 마포구,197169,197426,197627,197570,197852,197726,197599,197446,197497,197206,196897,196740,37.56628642,126.9014899
서울특별시 양천구,232892,232630,232098,232569,233097,233045,232935,232709,232351,232048,231841,231427,37.51714651,126.8665429
서울특별시 강서구,305290,304800,304217,303738,303438,303239,302936,302273,301593,301164,300876,300151,37.55110585,126.8495849
서울특별시 구로구,205686,205391,205279,205032,204932,204977,205097,205244,205311,205286,205131,204735,37.49570011,126.8876391
서울특별시 금천구,114767,114682,114539,114461,114526,114488,114372,114516,114668,114744,114639,114507,37.45695405,126.895379
서울특별시 영등포구,185412,186640,187587,187779,188033,188444,188941,189530,189830,190507,191215,191833,37.52652266,126.8962345
서울특별시 동작구,203864,203768,203742,203781,203899,203954,203842,203364,203132,202684,202369,202068,37.51261701,126.9397997
서울특별시 관악구,248938,248765,248631,248536,248803,248911,248904,248796,248490,247670,247202,246721,37.47828858,126.9514609
서울특별시 서초구,224938,225143,224781,224277,224076,223882,223486,222957,222323,222051,221938,221767,37.48375739,127.0326987
서울특별시 강남구,284748,284970,284150,283304,282757,282480,282012,281741,281274,281666,281505,281232,37.51768528,127.047386
서울특별시 송파구,349080,348902,348236,347735,347446,347195,347282,347178,346685,345978,345835,345661,37.5146405,127.105894
서울특별시 강동구,223250,226423,229457,230721,231443,231958,232169,232227,232662,232831,232973,233754,37.53028931,127.1237639
부산광역시 중구,21322,21344,21310,21263,21285,21241,21253,21272,21248,21227,21207,21241,35.10653923,129.0322797
부산광역시 서구,55486,55476,55439,55471,55549,55606,55621,55552,55510,55690,55761,55794,35.09811743,129.0242148
부산광역시 동구,44916,44986,45445,45670,45703,45695,45705,45723,45589,45521,45428,45392,35.12951925,129.0454126
부산광역시 영도구,58965,58851,58736,58631,58521,58420,58290,58089,57954,57781,57636,57496,35.09140559,129.0678947
부산광역시 부산진구,184176,183996,184027,184275,184387,184485,184742,184754,184729,185063,185666,185966,35.16304228,129.0530903
부산광역시 동래구,139161,139183,139576,139687,139665,139717,139731,139631,139524,139371,139165,139010,35.1967203,129.0930973
부산광역시 남구,139582,139229,139028,138640,138459,138170,137916,137678,137506,137178,136939,136694,35.1367524,129.0844303
부산광역시 북구,146819,146504,146212,145957,145944,145651,145310,144906,144629,144216,143896,143425,35.19746596,128.9902986
부산광역시 해운대구,210275,209978,209750,209856,209516,209285,209305,208981,208856,208921,208741,208551,35.16335254,129.1638847
부산광역시 사하구,160490,160105,159787,159480,159300,159036,158809,158359,157932,157460,157074,156529,35.1045808,128.9749752
부산광역시 금정구,121738,121602,121334,121043,120880,120581,120214,119975,119767,119549,119420,119071,35.2430003,129.0921739
부산광역시 강서구,62945,63191,63362,63410,63548,63663,63771,64442,65389,65972,66333,66712,35.21241036,128.9804872
부산광역시 연제구,108494,108771,108731,108661,108615,108448,108361,108808,108955,108874,108665,108457,35.17640584,129.0796413
부산광역시 수영구,92587,93078,93161,93241,93214,93287,93169,93251,93436,93389,93309,93321,35.14574351,129.1131838
부산광역시 사상구,107572,107417,107204,107010,106804,106601,106426,106210,105978,105703,105457,105181,35.15280367,128.9911898
부산광역시 기장군,83089,83948,84578,84853,85377,85919,86540,86979,87193,87406,87762,88106,35.24482811,129.2222634
대구광역시 중구,39993,39967,39975,39891,39867,39948,39980,40002,39978,39881,39797,39748,35.86947505,128.6060564
대구광역시 동구,174648,174100,174250,174140,173784,173687,173758,174093,174063,173759,173720,173477,35.88681859,128.6355584
대구광역시 서구,87042,86845,86705,86640,86386,86163,86081,85984,85745,85561,85303,85128,35.87200214,128.5592204
대구광역시 남구,76715,76718,76835,76775,76676,76537,76539,76491,76288,76080,76208,76161,35.84618324,128.5973754
대구광역시 북구,219263,218996,219178,219182,219585,220094,220518,220674,221084,221229,221224,221066,35.88430565,128.5815912
대구광역시 수성구,220699,220659,220702,220515,220231,220046,219911,219882,219687,219624,219315,219021,35.85823498,128.6305627
대구광역시 달서구,287461,287046,287323,287079,286543,286151,285826,285389,284993,284337,283799,283005,35.82992525,128.5326441
대구광역시 달성군,126280,126188,126327,126402,126483,126513,126788,127051,127097,127254,127412,127631,35.77475899,128.4313244
인천광역시 중구,65545,66042,66382,66605,66868,66950,67057,67096,67125,67124,67261,67244,37.47393798,126.6215171
인천광역시 동구,31852,31795,31725,31627,31565,31445,31330,31237,31190,31101,31057,30967,37.4740331,126.6432655
인천광역시 미추홀구,202547,202081,201865,201748,201727,201487,201226,200697,200267,199846,199723,200705,37.46365763,126.6502865
인천광역시 연수구,184527,185737,186346,186663,187138,187308,188220,190085,191540,192867,194120,194880,37.41037273,126.678298
인천광역시 남동구,267734,267580,267452,267178,266960,266709,266237,265772,265447,265295,264914,264431,37.44725267,126.7314723
인천광역시 부평구,257563,256638,255659,255049,254464,253702,253098,252196,251606,251202,250696,250249,37.50724197,126.7218691
인천광역시 계양구,151580,151100,150903,150635,150469,150198,149904,149417,149097,148994,148923,148774,37.53757116,126.7377225
인천광역시 서구,269654,269519,269338,269350,269331,269375,269392,269140,268924,268692,268521,268262,37.54548073,126.6760045
인천광역시 강화군,34515,34491,34401,34421,34446,34443,34450,34418,34457,34466,34467,34559,37.74685272,126.4878739
인천광역시 옹진군,8853,8839,8779,8780,8788,8787,8814,8813,8795,8812,8830,8814,37.44668379,126.6368011
광주광역시 동구,49867,49866,49878,49879,50143,50182,50185,50154,51070,51656,51940,52087,35.14615419,126.9231381
