행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
고성군,27165,27080,27064,26959,26921,26886,26867,26857,26787,26781,26798,26757,38.38058598,128.4678781
양양군,27709,27729,27713,27710,27787,27808,27859,27868,27940,27964,27926,27946,38.07537941,128.6190796
충주시,210806,210643,210423,210188,210190,210173,210228,210304,210299,210246,210313,210186,36.99091676,127.9257467
제천시,134359,134171,133839,133638,133513,133395,133277,133170,133246,133203,133115,133018,37.13259287,128.1908895
청주시,840047,840272,840756,840938,841540,842821,843399,843782,844110,844486,844815,844993,36.64246074,127.4891116
청주시상당구,179626,180277,181403,182086,182516,184165,185256,185904,187003,189105,189727,190034,36.58981751,127.505
청주시서원구,202513,201704,200775,200275,199866,198950,198543,198128,197483,196472,195804,194720,36.63763213,127.4697
청주시흥덕구,262504,263132,263844,264170,264709,265681,265720,265825,265838,265320,265311,265866,36.62895421,127.3757
청주시청원구,195404,195159,194734,194407,194449,194025,193880,193925,193786,193589,193973,194373,36.65148208,127.4867
보은군,32899,32840,32760,32699,32653,32578,32522,32522,32522,32476,32456,32412,36.48945062,127.7295675
옥천군,50987,50903,50791,50778,50802,50802,50768,50792,50745,50696,50619,50527,36.30634045,127.5712259
영동군,48523,48364,48174,47963,47832,47736,47702,47706,47679,47603,47561,47475,36.17489697,127.7833915
진천군,81225,81301,81404,81483,81584,81742,81865,81949,82362,83090,83621,83718,36.85487116,127.4357457
괴산군,38451,38185,37896,37694,37566,37493,37357,37354,37368,37447,37671,39393,36.8153505,127.7866016
음성군,95006,94909,94709,94461,94336,94288,94315,94179,93813,93579,93310,93153,36.94021058,127.6904771
단양군,29664,29592,29546,29451,29392,29387,29337,29268,29270,29265,29239,29155,36.98510421,128.3655621
증평군,37424,37419,37341,37320,37302,37178,37166,37136,37122,37011,36960,36807,36.78528798,127.5814568
천안시,652845,653816,654259,654251,655192,657514,658280,658212,658670,658911,658977,658808,36.81508793,127.1139222
천안시동남구,259416,259558,259474,259211,258857,258996,259219,258942,258685,258556,258269,258009,36.80675733,127.1516
천안시서북구,393429,394258,394785,395040,396335,398518,399061,399270,399985,400355,400708,400799,36.87786019,127.1548
