행정구역,2022년01월_총인구수,2022년01월_남자 인구수,2022년01월_여자 인구수,2022년02월_총인구수,2022년02월_남자 인구수,2022년02월_여자 인구수,2022년03월_총인구수,2022년03월_남자 인구수,2022년03월_여자 인구수,2022년04월_총인구수,2022년04월_남자 인구수,2022년04월_여자 인구수,2022년05월_총인구수,2022년05월_남자 인구수,2022년05월_여자 인구수,2022년06월_총인구수,2022년06월_남자 인구수,2022년06월_여자 인구수,2022년07월_총인구수,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년08월_총인구수,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년09월_총인구수,2022년09월_남자 인구수,2022년09월_여자 인구수,2022년10월_총인구수,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년11월_총인구수,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년12월_총인구수,2022년12월_남자 인구수,2022년12월_여자 인구수,위도,경도
서울특별시 종로구,144543,70117,74426,144575,70092,74483,144275,69911,74364,144005,69722,74283,143850,69638,74212,143624,69513,74111,143547,69463,74084,143499,69408,74091,141978,68652,73326,141861,68601,73260,141650,68488,73162,141379,68395,72984,37.57364689,126.978984
서울특별시 중구,122315,59510,62805,122167,59446,62721,122173,59448,62725,122087,59417,62670,122054,59368,62686,122088,59364,62724,122138,59360,62778,121960,59309,62651,120969,58812,62157,120648,58643,62005,120545,58610,61935,120437,58563,61874,37.5639284,126.9975517
서울특별시 용산구,222573,107050,115523,222413,106881,115532,222169,106735,115434,222009,106645,115364,222083,106666,115417,222263,106743,115520,222262,106743,115519,222230,106686,115544,219275,105385,113890,219102,105303,113799,218945,105222,113723,218650,105087,113563,37.53253057,126.9907138
서울특별시 성동구,285516,139135,146381,285137,138866,146271,285073,138847,146226,284573,138581,145992,284173,138373,145800,283821,138162,145659,283618,138046,145572,283603,138050,145553,282250,137351,144899,281694,137075,144619,281370,136901,144469,281000,136633,144367,37.56361329,127.0369234
서울특별시 광진구,340002,163993,176009,340494,164226,176268,340707,164346,176361,340396,164191,176205,340062,164091,175971,339893,163920,175973,339853,163882,175971,339567,163692,175875,338257,163038,175219,337900,162844,175056,337713,162699,175014,337416,162541,174875,37.53857836,127.0821862
서울특별시 동대문구,337419,166657,170762,337881,166852,171029,337982,166823,171159,337570,166554,171016,337443,166447,170996,337330,166348,170982,337198,166236,170962,337233,166170,171063,337106,166051,171055,337273,166113,171160,337241,166070,171171,336644,165755,170889,37.57441406,127.0398434
서울특별시 중랑구,387598,191221,196377,388606,191682,196924,389043,191835,197208,388941,191741,197200,388736,191575,197161,388509,191433,197076,388307,191193,197114,387840,190931,196909,386390,190115,196275,385976,189869,196107,385638,189747,195891,385318,189537,195781,37.60648307,127.0931308
서울특별시 성북구,430074,207333,222741,431892,208211,223681,433150,208691,224459,433331,208762,224569,433531,208802,224729,433559,208790,224769,433583,208745,224838,433386,208575,224811,431827,207715,224112,431581,207584,223997,431047,207269,223778,430397,206961,223436,37.58960402,127.0167645
서울특별시 강북구,298727,145500,153227,298074,145066,153008,297384,144643,152741,296942,144395,152547,296726,144228,152498,296653,144154,152499,296489,144107,152382,296073,143861,152212,294876,143219,151657,294429,143000,151429,293984,142776,151208,293660,142567,151093,37.6399466,127.0255077
서울특별시 도봉구,317150,154326,162824,316631,154046,162585,316098,153716,162382,315522,153445,162077,315162,153252,161910,314791,153014,161777,314662,152937,161725,313835,152495,161340,312788,152019,160769,312427,151811,160616,312053,151562,160491,311694,151398,160296,37.66898579,127.0470495
서울특별시 노원구,510805,245896,264909,510527,245744,264783,510486,245663,264823,509658,245222,264436,508867,244807,264060,508066,244387,263679,507575,244138,263437,507076,243842,263234,505503,243071,262432,505058,242826,262232,504609,242634,261975,503734,242145,261589,37.65423107,127.0565938
서울특별시 은평구,473122,226269,246853,472640,225941,246699,472259,225640,246619,473131,226009,247122,473669,226182,247487,473674,226148,247526,473529,226065,247464,472954,225732,247222,470289,224424,245865,468988,223764,245224,467851,223198,244653,466746,222592,244154,37.60291898,126.929256
서울특별시 서대문구,305113,145759,159354,305793,146045,159748,305866,145958,159908,305721,145839,159882,305615,145681,159934,305623,145663,159960,305716,145711,160005,306253,145948,160305,305149,145374,159775,305113,145287,159826,305541,145442,160099,306337,145816,160521,37.57943924,126.9365268
서울특별시 마포구,368617,173323,195294,368560,173282,195278,368331,173073,195258,367613,172724,194889,367474,172574,194900,367584,172569,195015,367473,172551,194922,367190,172317,194873,365266,171345,193921,364698,171062,193636,364374,170915,193459,364638,171043,193595,37.56628642,126.9014899
서울특별시 양천구,446895,219023,227872,446478,218786,227692,446182,218554,227628,445662,218298,227364,444925,217920,227005,444548,217704,226844,444213,217475,226738,443847,217268,226579,442145,216359,225786,441749,216133,225616,441550,216070,225480,440881,215682,225199,37.51714651,126.8665429
서울특별시 강서구,574001,276132,297869,573531,275710,297821,573046,275422,297624,572648,275101,297547,572959,275199,297760,573045,275233,297812,572814,275140,297674,572230,274771,297459,570368,273820,296548,570011,273644,296367,569456,273357,296099,569166,273203,295963,37.55110585,126.8495849
서울특별시 구로구,396515,195351,201164,396221,195164,201057,396017,195002,201015,395555,194763,200792,395146,194518,200628,394850,194304,200546,394745,194211,200534,394246,193935,200311,393181,193323,199858,394212,193834,200378,394811,194067,200744,395315,194274,201041,37.49570011,126.8876391
서울특별시 금천구,230881,116487,114394,230856,116449,114407,231098,116568,114530,231150,116598,114552,231427,116756,114671,231565,116811,114754,231522,116766,114756,231356,116653,114703,230504,116209,114295,230156,116062,114094,229890,115934,113956,229642,115786,113856,37.45695405,126.895379
서울특별시 영등포구,376949,185964,190985,376884,185824,191060,376740,185696,191044,376465,185520,190945,376290,185354,190936,376437,185460,190977,376661,185518,191143,377295,185754,191541,376216,185099,191117,375849,184845,191004,375785,184766,191019,375675,184660,191015,37.52652266,126.8962345
서울특별시 동작구,385478,186452,199026,385490,186397,199093,386017,186648,199369,385982,186558,199424,385755,186455,199300,385898,186506,199392,385746,186466,199280,385379,186268,199111,383637,185490,198147,382747,185098,197649,381704,184596,197108,380596,184030,196566,37.51261701,126.9397997
서울특별시 관악구,485610,243967,241643,486209,244287,241922,486375,244409,241966,486361,244499,241862,486686,244628,242058,486946,244722,242224,487172,244925,242247,487629,245176,242453,486787,244810,241977,487201,244980,242221,487038,244969,242069,486752,244748,242004,37.47828858,126.9514609
서울특별시 서초구,411539,196611,214928,410682,196211,214471,409823,195806,214017,408918,195389,213529,408133,195056,213077,407672,194819,212853,407346,194627,212719,406565,194249,212316,405076,193548,211528,404902,193465,211437,404704,193333,211371,404325,193159,211166,37.48375739,127.0326987
서울특별시 강남구,533173,255107,278066,533286,255159,278127,532577,254866,277711,532049,254517,277532,531744,254347,277397,531777,254333,277444,532198,254498,277700,532500,254730,277770,530103,253628,276475,529946,253570,276376,529698,253449,276249,529102,253072,276030,37.51768528,127.047386
서울특별시 송파구,658859,317556,341303,661452,318851,342601,662607,319407,343200,662963,319535,343428,662960,319461,343499,662961,319397,343564,663070,319423,343647,662599,319164,343435,660211,317972,342239,659788,317743,342045,659381,317464,341917,658801,317180,341621,37.5146405,127.105894
서울특별시 강동구,462452,226892,235560,461972,226605,235367,461300,226203,235097,461228,226057,235171,461417,226062,235355,461630,226158,235472,461774,226179,235595,462109,226311,235798,460617,225532,235085,460413,225303,235110,460258,225243,235015,460067,225221,234846,37.53028931,127.1237639
부산광역시 중구,40537,19762,20775,40582,19756,20826,40596,19754,20842,40585,19745,20840,40537,19739,20798,40455,19695,20760,40342,19633,20709,40297,19602,20695,40117,19503,20614,39936,19377,20559,39840,19323,20517,39689,19239,20450,35.10653923,129.0322797
