행정구역,2021년1월_남자 인구수,2021년2월_남자 인구수,2021년3월_남자 인구수,2021년4월_남자 인구수,2021년5월_남자 인구수,2021년6월_남자 인구수,2021년7월_남자 인구수,2021년8월_남자 인구수,2021년9월_남자 인구수,2021년10월_남자 인구수,2021년11월_남자 인구수,2021년12월_남자 인구수,위도,경도
서울특별시 종로구,72528,72372,71644,71567,71204,70985,70810,70715,70666,70552,70393,70183,37.57364689,126.978984
서울특별시 중구,61122,61018,60851,60787,60106,60019,59945,59868,59853,59802,59743,59630,37.5639284,126.9975517
서울특별시 용산구,110700,110646,110181,110038,109494,108948,108709,108220,107801,107607,107486,107210,37.53253057,126.9907138
서울특별시 성동구,143151,142904,142506,142277,141358,141042,140811,140517,140290,139958,139709,139380,37.56361329,127.0369234
서울특별시 광진구,166964,166535,165747,165555,165461,165233,165039,164748,164553,164425,164212,164058,37.53857836,127.0821862
서울특별시 동대문구,169337,169139,167895,167643,167463,167335,167252,167140,167083,166842,166591,166646,37.57441406,127.0398434
서울특별시 중랑구,194990,194665,193752,193444,192923,192688,192355,192060,191832,191601,191305,191112,37.60648307,127.0931308
서울특별시 성북구,211123,211283,209902,209667,209407,209210,209004,208711,208592,208308,207979,207578,37.58960402,127.0167645
서울특별시 강북구,149822,149427,148306,148033,147824,147542,147237,146919,146613,146240,146000,145705,37.6399466,127.0255077
서울특별시 도봉구,158103,157603,156810,156570,156282,156080,155869,155523,155212,154970,154794,154487,37.66898579,127.0470495
서울특별시 노원구,251763,250929,249942,249522,249029,248719,248250,247676,247118,246650,246182,246053,37.65423107,127.0565938
서울특별시 은평구,229827,229318,227910,227446,227496,227584,227339,226964,226833,226514,226555,226458,37.60291898,126.929256
서울특별시 서대문구,149211,148908,147655,147264,147056,146844,146724,146553,146388,146208,145990,145694,37.57943924,126.9365268
서울특별시 마포구,174958,174741,173624,174050,174194,174200,174291,174204,174119,173985,173725,173504,37.56628642,126.9014899
서울특별시 양천구,222417,222789,222010,221708,221431,221140,220815,220421,220075,219862,219606,219214,37.51714651,126.8665429
서울특별시 강서구,279458,279269,278444,278466,278408,278360,278142,277705,277388,277041,276624,276292,37.55110585,126.8495849
서울특별시 구로구,199243,198687,198034,197653,197398,197034,196713,196249,196027,195909,195741,195537,37.49570011,126.8876391
서울특별시 금천구,117141,116950,116322,116211,116292,116491,116699,116714,116588,116588,116574,116527,37.45695405,126.895379
서울특별시 영등포구,187960,188029,186692,186652,186564,186482,186432,186526,186414,186390,186047,185926,37.52652266,126.8962345
서울특별시 동작구,188743,188428,188045,188032,187942,187617,187614,187510,187286,186863,186710,186426,37.51261701,126.9397997
서울특별시 관악구,247853,247472,246097,245666,245552,245404,245370,245308,245220,244844,244367,243991,37.47828858,126.9514609
서울특별시 서초구,203097,202692,201619,201075,200485,200163,200107,199722,199068,198470,197606,197034,37.48375739,127.0326987
서울특별시 강남구,257647,257231,255880,255243,254558,254139,253799,254936,255264,255473,255319,255047,37.51768528,127.047386
서울특별시 송파구,321948,320991,319047,318374,317981,317531,317209,317635,317784,317773,317596,317346,37.5146405,127.105894
서울특별시 강동구,226893,228256,228609,228768,228812,228652,228642,228196,228002,227755,227436,227002,37.53028931,127.1237639
부산광역시 중구,20269,20262,20169,20122,20065,19799,19862,19862,19863,19838,19777,19755,35.10653923,129.0322797
부산광역시 서구,52295,52194,51583,51621,51591,51510,51476,51308,51212,51084,50990,50853,35.09811743,129.0242148
부산광역시 동구,43462,43370,43213,43185,43109,43012,42907,42817,42854,42908,42946,42877,35.12951925,129.0454126
부산광역시 영도구,55697,55571,54997,54958,55016,55061,54999,54888,54786,54707,54612,54471,35.09140559,129.0678947
부산광역시 부산진구,173861,173763,172703,172498,172228,171921,171638,171257,171079,170785,170491,170181,35.16304228,129.0530903
부산광역시 동래구,131698,131712,131207,130880,130672,130542,130335,130155,130024,129758,129568,129681,35.1967203,129.0930973
부산광역시 남구,130792,130623,130080,129786,129523,129199,128982,128710,128663,128616,128411,127955,35.1367524,129.0844303
부산광역시 북구,140245,139828,139355,139491,140032,140238,140241,140302,140255,140183,140023,139795,35.19746596,128.9902986
부산광역시 해운대구,193341,193072,192576,192392,192102,191985,191773,191483,191304,191154,190933,190624,35.16335254,129.1638847
부산광역시 사하구,154893,154760,154063,153718,153413,153124,152755,152766,152726,152569,152471,152197,35.1045808,128.9749752
부산광역시 금정구,113238,113219,112741,112515,112308,112056,112049,112060,112095,111981,111882,111513,35.2430003,129.0921739
부산광역시 강서구,71620,71882,72000,72239,72541,72824,73100,73380,73623,73811,73971,74047,35.21241036,128.9804872
부산광역시 연제구,100563,100450,99948,99693,99464,99280,99089,99010,99000,98989,99042,99761,35.17640584,129.0796413
부산광역시 수영구,83514,83512,83280,83320,83210,83071,83010,83040,83017,82913,82790,82609,35.14574351,129.1131838
부산광역시 사상구,107191,107128,106717,106530,106324,106185,106013,105794,105690,105543,105299,105034,35.15280367,128.9911898
부산광역시 기장군,86848,87194,87172,87304,87367,87484,87565,87546,87499,87529,87661,87691,35.24482811,129.2222634
대구광역시 중구,36724,36586,36334,36199,36106,35922,35757,35580,35535,35858,35927,35948,35.86947505,128.6060564
대구광역시 동구,168218,168276,168722,168584,168209,167668,167503,167453,167322,167505,167733,167888,35.88681859,128.6355584
대구광역시 서구,85396,85148,84873,84624,84423,83975,83659,83453,83187,82929,82574,82241,35.87200214,128.5592204
대구광역시 남구,70355,70279,70169,70219,70118,69755,69663,69510,69457,69287,69066,68799,35.84618324,128.5973754
대구광역시 북구,218975,218625,218197,218144,218036,217669,217540,217339,217543,217197,217189,217420,35.88430565,128.5815912
대구광역시 수성구,205210,205155,204586,204076,203573,203195,203235,203120,202912,202574,202137,201689,35.85823498,128.6305627
대구광역시 달서구,274911,274175,273311,272745,272325,271953,271525,270975,270482,269775,269093,268498,35.82992525,128.5326441
대구광역시 달성군,131867,132000,131878,132072,132187,132243,132469,132793,133202,133361,133417,133149,35.77475899,128.4313244
인천광역시 중구,72524,72561,72400,72529,72745,72886,73107,73472,73787,74127,74366,74679,37.47393798,126.6215171
인천광역시 동구,31549,31515,31200,31159,31066,31040,31461,31517,31417,31266,31120,30998,37.4740331,126.6432655
인천광역시 미추홀구,203854,204002,203664,203495,203564,203742,203720,204357,204758,204898,205009,205283,37.46365763,126.6502865
인천광역시 연수구,193006,193548,194069,194282,194351,194215,194088,193801,193641,193568,193434,193417,37.41037273,126.678298
인천광역시 남동구,260654,260227,259545,259335,259035,258876,258582,258080,257803,257616,257523,257468,37.44725267,126.7314723
인천광역시 부평구,244412,243934,242817,242605,242647,242460,242133,241608,241313,240990,240572,240348,37.50724197,126.7218691
인천광역시 계양구,147690,147871,147987,147993,147864,147719,147557,147178,146737,146853,147171,147316,37.53757116,126.7377225
인천광역시 서구,273693,273369,273008,273007,273106,273411,274060,275064,277255,278877,279621,280398,37.54548073,126.6760045
인천광역시 강화군,34664,34655,34519,34557,34626,34644,34681,34679,34660,34698,34782,34868,37.74685272,126.4878739
인천광역시 옹진군,11593,11563,11541,11528,11524,11551,11596,11591,11592,11643,11647,11598,37.44668379,126.6368011
광주광역시 동구,50789,50674,50577,50783,50853,50926,50938,50981,51073,51016,51002,51046,35.14615419,126.9231381
광주광역시 서구,145049,144682,144373,144117,143812,143635,143459,143271,143177,142908,142783,142721,35.15217985,126.8899468
광주광역시 남구,103192,103263,102891,102854,102803,102885,102933,102881,102962,103318,103559,103542,35.13321296,126.9022115
광주광역시 북구,213745,213621,213257,213032,212637,212433,212537,212410,212526,212370,212180,211999,35.17438289,126.9121844
광주광역시 광산구,204154,204091,204128,204048,203996,203914,203759,203743,203928,203871,203768,203707,35.13977662,126.7937594
대전광역시 동구,112794,113026,112726,112660,112656,112571,112539,112538,112638,112624,112408,111953,36.31203163,127.4548059
대전광역시 중구,116032,115744,115273,114991,114905,114783,114663,114475,114361,114258,113977,113507,36.32576074,127.4213595
대전광역시 서구,234832,234558,233968,233902,233764,233513,233371,233278,233248,233068,233010,232714,36.35552081,127.3838132
대전광역시 유성구,177175,176852,176765,176715,176750,176644,176651,176672,176991,176936,177352,177463,36.36246979,127.3561992
대전광역시 대덕구,89563,89483,89343,89254,89204,89155,89057,88993,88904,88856,88659,88989,36.34692581,127.4155614
울산광역시 중구,109997,109644,109045,108828,108746,108776,108678,108516,108235,108103,108044,107736,35.56970355,129.3327733
울산광역시 남구,163120,162809,162292,162114,161841,161614,161343,160976,160693,160481,160282,160055,35.54394782,129.330126
울산광역시 동구,81834,81652,81412,81246,81102,81003,80868,80767,80683,80618,80551,80417,35.50516123,129.4167348
울산광역시 북구,113499,113324,113172,113162,113119,113009,112942,112835,112757,112783,113003,113265,35.582905,129.3612179
울산광역시 울주군,114952,114761,114503,114503,114508,114522,114680,114712,114725,114738,114756,114744,35.52252665,129.2425116
세종특별자치시 세종특별자치시,178656,179528,180030,180462,180778,181328,181996,182430,183044,183879,184441,185678,36.48045322,127.2892442
경기도 수원시,596918,597254,597390,597136,596759,596269,595883,595810,596543,596863,596491,595933,37.26355925,127.0285973
경기도 성남시,465278,464828,462773,462086,461504,461565,461613,461612,461496,461315,461205,461131,37.42022748,127.1266546
경기도 의정부시,227731,227725,227191,227112,227073,227380,227975,228349,228451,228574,228555,228538,37.73825019,127.033733
경기도 안양시,271760,272392,272569,272626,272348,271857,271356,271131,270954,270572,270290,270496,37.39453744,126.9568463
경기도 부천시,405464,404763,403374,402851,402337,402000,401645,401353,401051,400375,399933,399484,37.50375321,126.7658326
경기도 광명시,146858,146369,145897,145859,145900,145948,145781,145603,145398,145171,144827,144384,37.47867555,126.8646736
경기도 평택시,279690,281521,282242,283450,284559,285580,286588,288302,290020,291122,292554,293954,36.99245752,127.112695
경기도 동두천시,47077,47005,46621,46610,46606,46626,46675,46627,46661,46659,46672,46694,37.90370032,127.061145
경기도 안산시,336265,336325,336542,336479,336303,336051,335750,335701,335574,335508,335229,334646,37.32203062,126.8308388
경기도 고양시,529378,529886,529227,529062,529030,528924,529135,528972,528911,528683,528390,528094,37.65830361,126.832016
경기도 과천시,31675,33019,33581,33846,33887,34036,34151,34223,34275,34357,35058,36092,37.42927348,126.9875979
경기도 구리시,97836,97601,97184,96900,96640,96457,96227,96074,95966,95747,95429,95172,37.5944714,127.1297639
경기도 남양주시,355980,357710,358682,359354,360076,360473,360803,361913,362614,363233,363970,365103,37.61055247,127.1711945
경기도 오산시,118964,119237,119343,119513,119532,119561,119588,119590,119558,119588,119461,119409,37.14993516,127.0770233
경기도 시흥시,263749,265172,265947,266410,266839,267078,267186,267236,267334,267351,267503,267423,37.38014281,126.8028693
경기도 군포시,135726,135192,134603,134427,134288,134167,133999,133758,133641,133506,133458,133246,37.36160744,126.9352653
경기도 의왕시,81379,81175,80839,80714,80710,80667,81009,81300,81403,81341,81252,81148,37.34496964,126.9687218
경기도 하남시,148229,149595,150678,151429,151874,153427,154574,155478,156333,157644,159264,160163,37.53923662,127.2145653
경기도 용인시,533222,533604,533356,534238,534842,534946,535521,536223,535936,535631,535053,534459,37.24071642,127.177274
경기도 파주시,236488,237118,237528,238389,238960,239454,240306,241438,242418,243139,244290,245085,37.75946605,126.7803264
경기도 이천시,113095,113156,113087,113538,113745,114471,114913,115596,115995,116264,116100,115727,37.27224558,127.435023
경기도 안성시,96474,96622,96711,97025,97419,97561,97699,97911,97955,97969,97874,97895,37.00786318,127.2798342
경기도 김포시,239165,240076,240514,241239,241645,242136,242493,242792,243017,243149,243279,243415,37.61533178,126.7154295
경기도 화성시,445135,446168,447092,449184,450855,452263,453495,455268,456841,457918,459514,460788,37.19943362,126.8315556
