행정구역,2019년1월_여자 인구수,2019년2월_여자 인구수,2019년3월_여자 인구수,2019년4월_여자 인구수,2019년5월_여자 인구수,2019년6월_여자 인구수,2019년7월_여자 인구수,2019년8월_여자 인구수,2019년9월_여자 인구수,2019년10월_여자 인구수,2019년11월_여자 인구수,2019년12월_여자 인구수,위도,경도
인천광역시 연수구,175211,176036,176273,176809,177652,178311,179406,180796,181960,183042,183609,184176,37.41037273,126.678298
인천광역시 남동구,269387,268994,269110,269326,269145,268879,268642,268321,268151,267787,267707,267749,37.44725267,126.7314723
인천광역시 부평구,263987,263420,263019,262398,261788,261389,260901,260259,259817,259301,258740,258239,37.50724197,126.7218691
인천광역시 계양구,156039,155433,154991,154529,154112,153823,153458,153133,152833,152543,152240,151902,37.53757116,126.7377225
인천광역시 서구,266888,267404,267881,268199,268415,268671,268768,268789,268772,268943,269397,269614,37.54548073,126.6760045
인천광역시 강화군,34348,34359,34373,34380,34438,34453,34472,34484,34472,34488,34505,34513,37.74685272,126.4878739
인천광역시 옹진군,9130,9064,9062,9043,9027,9020,8993,8969,8982,8969,8919,8888,37.44668379,126.6368011
광주광역시 동구,47524,47430,47365,47673,47907,48271,48954,49345,49545,49704,49787,49786,35.14615419,126.9231381
광주광역시 서구,154665,154371,154025,153916,153761,153499,153318,153259,153371,153446,153464,153304,35.15217985,126.8899468
광주광역시 남구,112178,112584,112716,112649,112621,112813,112822,112961,112905,113000,113098,113033,35.13321296,126.9022115
광주광역시 북구,221546,221129,220821,220411,220017,219667,219443,219172,219242,218996,218724,218273,35.17438289,126.9121844
광주광역시 광산구,201017,201005,201492,201796,202166,202215,202148,202093,201974,201766,201674,201332,35.13977662,126.7937594
대전광역시 동구,113318,113416,113622,113614,113573,113541,113432,113300,113134,112922,112679,112324,36.31203163,127.4548059
대전광역시 중구,123206,123014,122868,122773,122722,122640,122507,122340,122085,122006,121863,121609,36.32576074,127.4213595
대전광역시 서구,245753,245670,245450,245064,244871,244530,244581,244553,244742,244771,244535,244371,36.35552081,127.3838132
대전광역시 유성구,173369,173394,173235,173334,173287,173174,172965,172898,172849,172843,172973,172958,36.36246979,127.3561992
대전광역시 대덕구,89228,88976,88825,88629,88441,88219,87989,87834,87721,87494,87298,87001,36.34692581,127.4155614
울산광역시 중구,113647,113227,112699,112169,111811,111541,111271,111040,110837,110620,110362,110055,35.56970355,129.3327733
울산광역시 남구,162023,161673,161170,160739,160393,160129,159785,159442,159213,159057,158956,158757,35.54394782,129.330126
울산광역시 동구,78318,77938,77622,77381,77202,77060,76984,76830,76729,76622,76489,76265,35.50516123,129.4167348
울산광역시 북구,100114,100662,101506,102431,103032,103424,103779,104084,104296,104597,104973,105208,35.582905,129.3612179
울산광역시 울주군,107248,107382,107441,107536,107557,107698,107911,108009,108179,108181,108044,108022,35.52252665,129.2425116
세종특별자치시 세종특별자치시,158724,160466,161637,162473,163199,164115,165466,166358,167209,168546,169731,170730,36.48045322,127.2892442
경기도 수원시,595655,595419,595250,594622,594222,594106,593673,593345,593597,593304,593137,593055,37.26355925,127.0285973
경기도 성남시,481491,480894,480120,479265,478846,478665,477979,477460,477058,476554,476192,476080,37.42022748,127.1266546
경기도 의정부시,227357,227805,228238,228536,228717,228826,228919,229260,229229,229236,229206,229278,37.73825019,127.033733
경기도 안양시,290365,290006,289537,289338,289262,289103,288793,288372,288086,287623,287363,286392,37.39453744,126.9568463
경기도 부천시,423115,422320,421601,421077,420879,420705,420060,419461,418968,418251,417916,417496,37.50375321,126.7658326
경기도 광명시,164901,164545,164071,163530,162979,162510,162169,161766,161446,160864,160423,160147,37.47867555,126.8646736
경기도 평택시,241560,242360,242966,243445,243873,244075,244992,245711,246532,247443,248190,249015,36.99245752,127.112695
경기도 동두천시,48112,47973,47859,47808,47741,47738,47692,47611,47580,47606,47501,47460,37.90370032,127.061145
경기도 안산시,321514,321225,320930,320523,320159,319937,319886,319484,318952,318082,317571,317152,37.32203062,126.8308388
경기도 고양시,531774,531509,532027,532765,533243,533794,535679,538188,539930,541270,542400,543602,37.65830361,126.832016
경기도 과천시,29725,29761,29743,29702,29631,29592,29575,29579,29549,29515,29566,29651,37.42927348,126.9875979
경기도 구리시,102314,102062,101840,101661,101505,101377,101131,100775,100472,100313,100274,100297,37.5944714,127.1297639
경기도 남양주시,342118,343055,343896,344825,345630,346626,347965,349678,350830,351457,351805,352166,37.61055247,127.1711945
경기도 오산시,106830,106822,106820,106621,106541,106459,106392,107228,107854,108383,109045,109475,37.14993516,127.0770233
경기도 시흥시,215026,216804,218075,218944,220011,221031,221934,222583,223183,224399,225080,225878,37.38014281,126.8028693
경기도 군포시,139243,138982,138762,138609,138389,138308,138190,138330,138398,138690,138880,138974,37.36160744,126.9352653
경기도 의왕시,77183,77473,78205,78699,79158,79440,79840,79982,80073,80190,80202,80800,37.34496964,126.9687218
경기도 하남시,127611,128763,129631,130312,130931,131384,132236,133283,133916,134443,135021,135470,37.53923662,127.2145653
경기도 용인시,521897,522662,523226,524515,526263,527545,529280,530504,530881,531832,532671,533663,37.24071642,127.177274
경기도 파주시,222960,223142,223292,223357,223473,223579,223601,223583,223589,223620,223580,223579,37.75946605,126.7803264
경기도 이천시,104302,104245,104171,104249,104340,104486,104641,104694,104669,104711,104589,104590,37.27224558,127.435023
경기도 안성시,89484,89487,89412,89480,89654,89876,89769,89629,89501,89351,89225,89178,37.00786318,127.2798342
경기도 김포시,211939,213007,213484,213966,214674,215171,215541,216018,216294,216709,217087,217669,37.61533178,126.7154295
경기도 화성시,368885,371773,374056,376832,379081,381140,383389,385330,387132,389393,391228,392926,37.19943362,126.8315556
경기도 광주시,177677,177796,178112,178560,178987,179205,179548,179916,180603,181095,181454,181880,37.4294162,127.2551636
경기도 양주시,107350,107544,107929,108346,108736,108891,108975,109096,109256,109455,109511,109539,37.78529546,127.04579
경기도 포천시,71113,71000,70877,70760,70659,70677,70565,70541,70382,70305,70241,70148,37.89490568,127.200311
경기도 여주시,54877,54787,54775,54752,54738,54731,54750,54726,54660,54669,54697,54656,37.29818024,127.6366015
경기도 연천군,21220,21104,21076,21059,21024,20980,20972,20947,20935,20901,20915,20862,38.09636868,127.0750663
경기도 가평군,30586,30551,30523,30485,30689,30672,30640,30626,30561,30563,30440,30373,37.8312274,127.509577
경기도 양평군,57735,57725,57683,57722,57974,58035,58130,58160,58204,58226,58196,58220,37.49165875,127.4874649
강원도 춘천시,142359,142238,142135,142113,142105,142078,142048,142209,142293,142341,142475,142591,37.88126781,127.7299743
강원도 원주시,173259,173684,173830,174063,174249,174468,174699,174954,175077,175246,175489,175790,37.34200542,127.9196968
강원도 강릉시,107212,107238,107127,107332,107438,107519,107539,107518,107617,107638,107613,107549,37.75192033,128.8758988
강원도 동해시,44972,44894,44897,44861,44800,44751,44727,44682,44674,44630,44571,44677,37.52501602,129.1144366
강원도 태백시,22177,22088,22064,22001,21976,21923,21882,21836,21811,21780,21753,21698,37.16407866,128.9857267
강원도 속초시,41352,41299,41274,41318,41369,41413,41447,41448,41459,41456,41435,41366,38.20736378,128.5922346
강원도 삼척시,33655,33518,33538,33601,33552,33472,33480,33426,33395,33356,33335,33190,37.44998132,129.1653894
강원도 홍천군,34215,34111,34133,34104,34077,34021,33974,33933,33897,33845,33827,33791,37.69715594,127.8887666
강원도 횡성군,22847,22805,22881,22885,22897,22900,22885,22885,22844,22844,22844,22790,37.49171366,127.9849703
강원도 영월군,19174,19168,19166,19114,19091,19091,19072,19028,19016,18996,18982,18984,37.18370855,128.4617516
강원도 평창군,20807,20824,20789,20753,20732,20736,20714,20696,20658,20637,20613,20556,37.37075556,128.3902789
강원도 정선군,18041,17953,17946,17971,17951,17948,17947,17939,17929,17938,17922,17911,37.38061264,128.6608105
강원도 철원군,21930,21821,21811,21786,21759,21763,21753,21795,21788,21810,21814,21817,38.14658472,127.3125482
강원도 화천군,11483,11431,11440,11466,11491,11485,11461,11421,11394,11391,11415,11422,38.10624708,127.7080903
강원도 양구군,10925,10837,10914,10905,10890,10895,10862,10831,10794,10783,10739,10682,38.10999021,127.9899381
강원도 인제군,14766,14722,14675,14654,14645,14655,14634,14619,14599,14594,14576,14529,38.06952159,128.1697635
강원도 고성군,13388,13339,13357,13329,13243,13204,13177,13154,13138,13119,13109,13146,38.38058598,128.4678781
강원도 양양군,13448,13487,13496,13536,13591,13610,13634,13616,13631,13645,13637,13627,38.07537941,128.6190796
충청북도 청주시,416389,416445,416397,416417,416563,416521,416500,416588,416656,416777,416713,416702,36.64246074,127.4891116
충청북도 충주시,104327,104382,104319,104218,104194,104141,104035,104071,104115,104181,104228,104168,36.99091676,127.9257467
충청북도 제천시,67486,67363,67277,67514,67487,67465,67397,67381,67322,67272,67220,67158,37.13259287,128.1908895
충청북도 보은군,16805,16784,16756,16700,16644,16602,16576,16537,16526,16511,16467,16418,36.48945062,127.7295675
충청북도 옥천군,25537,25488,25493,25491,25469,25465,25409,25387,25346,25327,25311,25316,36.30634045,127.5712259
충청북도 영동군,24882,24830,24797,24796,24779,24737,24721,24658,24641,24637,24623,24557,36.17489697,127.7833915
충청북도 증평군,18026,17983,18001,18079,18118,18162,18136,18116,18094,18085,18062,18042,36.78528798,127.5814568
충청북도 진천군,37655,37828,37998,38169,38325,38404,38506,38557,38650,38650,38644,38696,36.85487116,127.4357457
충청북도 괴산군,18902,18804,18739,18688,18610,18591,18560,18541,18538,18548,18711,19150,36.8153505,127.7866016
충청북도 음성군,45138,45018,45000,44933,44952,44920,44920,44861,44819,44815,44752,44718,36.94021058,127.6904771
충청북도 단양군,14988,14968,14938,14916,14888,14866,14848,14800,14775,14768,14733,14698,36.98510421,128.3655621
충청남도 천안시,317269,317855,318249,318524,318690,318795,319036,319182,319304,319550,319643,319811,36.81508793,127.1139222
충청남도 공주시,53510,53430,53376,53357,53381,53436,53397,53324,53265,53222,53161,53131,36.44652532,127.1190088
충청남도 보령시,50293,50171,50154,50154,50160,50163,50092,50104,50109,50066,50059,49968,36.33347359,126.6127756
충청남도 아산시,151439,151392,151449,151415,151410,151409,151469,151590,151581,151670,151651,151701,36.78992729,127.0024922
충청남도 서산시,84372,84248,84238,84307,84238,84229,84319,84271,84288,84286,84327,84342,36.78478317,126.4503368
충청남도 논산시,60104,60011,59969,59959,59943,59877,59789,59776,59746,59673,59602,59436,36.18720384,127.0986769
충청남도 계룡시,21960,21898,21865,21842,21846,21839,21834,21857,21837,21790,21740,21633,36.27450688,127.2485308
충청남도 당진시,79276,79116,79035,79065,79063,79041,78959,78889,78872,78828,78833,78743,36.88959597,126.6460108
충청남도 금산군,26324,26287,26290,26268,26190,26195,26153,26111,26053,25997,25970,25948,36.10885289,127.4880279
충청남도 부여군,34317,34200,34132,34067,34016,34005,33966,33911,33857,33766,33730,33691,36.27567229,126.9097853
충청남도 서천군,27228,27145,27099,27044,26996,26978,26926,26845,26786,26752,26729,26695,36.08030449,126.6918535
충청남도 청양군,15850,15774,15715,15669,15653,15626,15594,15573,15545,15535,15623,15720,36.45914434,126.8023368
충청남도 홍성군,50771,50707,50879,50810,50770,50765,50689,50690,50642,50649,50604,50492,36.60131617,126.6608455
충청남도 예산군,39884,39827,39751,39731,39683,39702,39683,39638,39600,39567,39531,39432,36.68088766,126.844815
충청남도 태안군,31224,31163,31149,31180,31194,31198,31184,31168,31151,31097,31069,31028,36.74555213,126.2979723
전라북도 전주시,330753,331172,331483,331695,331915,331881,331931,332050,332211,332496,332552,332158,35.82445746,127.1478665
전라북도 군산시,134710,134560,134440,134369,134320,134333,134202,134129,134049,134001,133890,133710,35.96743059,126.7368529
전라북도 익산시,147145,146552,146262,146023,145759,145630,145399,145199,145061,144884,144622,144379,35.94825493,126.9577833
전라북도 정읍시,56581,56502,56397,56317,56241,56200,56095,56022,55976,55898,55880,55805,35.57000284,126.8563525
전라북도 남원시,42033,41933,41836,41832,41775,41730,41730,41690,41687,41665,41596,41557,35.41632997,127.3903679
