행정구역,2020년1월_남자 인구수,2020년2월_남자 인구수,2020년3월_남자 인구수,2020년4월_남자 인구수,2020년5월_남자 인구수,2020년6월_남자 인구수,2020년7월_남자 인구수,2020년8월_남자 인구수,2020년9월_남자 인구수,2020년10월_남자 인구수,2020년11월_남자 인구수,2020년12월_남자 인구수,위도,경도
서울특별시 종로구,73688,73729,73704,73563,73407,73288,73214,73062,73024,72847,72741,72635,37.57364689,126.978984
서울특별시 중구,61946,61964,61839,61770,61747,61697,61644,61651,61526,61432,61363,61222,37.5639284,126.9975517
서울특별시 용산구,110701,110773,110667,110604,110537,110527,110438,110403,110604,110754,110776,110722,37.53253057,126.9907138
서울특별시 성동구,147020,146688,146300,145833,145567,145258,145030,144701,144444,144059,143745,143387,37.56361329,127.0369234
서울특별시 광진구,170164,170000,169568,169213,169049,168879,168766,168472,168095,167794,167626,167310,37.53857836,127.0821862
서울특별시 동대문구,171964,171835,171896,171621,171565,171392,171134,170926,170748,170320,170088,169769,37.57441406,127.0398434
서울특별시 중랑구,196803,196483,196076,195784,195693,195349,195227,195931,195981,195718,195469,195165,37.60648307,127.0931308
서울특별시 성북구,214247,214078,213926,213743,213614,213431,213033,212559,212151,211780,211289,210810,37.58960402,127.0167645
서울특별시 강북구,153058,152857,152747,152594,152333,152028,151707,151376,151117,150744,150423,150143,37.6399466,127.0255077
서울특별시 도봉구,162701,162327,161879,161581,161195,160855,160465,160089,159723,159356,159076,158620,37.66898579,127.0470495
서울특별시 노원구,257746,257265,256726,256344,256045,255624,255127,254463,253797,253219,252792,252383,37.65423107,127.0565938
서울특별시 은평구,231171,230767,230147,230057,230062,230640,231384,231508,231364,231163,230763,230279,37.60291898,126.929256
서울특별시 서대문구,149114,149432,150051,150069,150058,149920,149674,149803,149993,149791,149505,149360,37.57943924,126.9365268
서울특별시 마포구,176782,176889,176943,176856,176985,176664,176437,176174,176011,175699,175423,175150,37.56628642,126.9014899
서울특별시 양천구,224995,224702,224241,224563,225084,224908,224608,224271,223889,223601,223217,222824,37.51714651,126.8665429
서울특별시 강서구,286309,285619,285085,284543,284115,283697,283343,282647,281951,281422,281033,280034,37.55110585,126.8495849
서울특별시 구로구,201065,200854,200558,200239,200098,200098,200163,200251,200268,200195,200063,199673,37.49570011,126.8876391
서울특별시 금천구,118299,118145,118044,117935,117899,117762,117567,117497,117489,117429,117364,117226,37.45695405,126.895379
서울특별시 영등포구,182504,183468,184316,184446,184535,184905,185156,185603,185800,186417,187061,187647,37.52652266,126.8962345
서울특별시 동작구,191772,191433,191272,191207,191281,191211,191063,190754,190422,189990,189527,189152,37.51261701,126.9397997
서울특별시 관악구,250931,250822,250743,250442,250628,250829,250825,250520,250084,249412,248857,248339,37.47828858,126.9514609
서울특별시 서초구,206112,206193,205787,205452,205264,205037,204766,204280,203686,203507,203493,203359,37.48375739,127.0326987
서울특별시 강남구,261190,261466,260654,259936,259158,258753,258624,258407,257961,258461,258333,257999,37.51768528,127.047386
서울특별시 송파구,327261,326880,325859,325127,324643,324317,324307,324134,323646,322942,322663,322299,37.5146405,127.105894
서울특별시 강동구,217545,220464,223189,224321,224869,225206,225170,225103,225396,225664,225631,226216,37.53028931,127.1237639
부산광역시 중구,20508,20482,20454,20451,20457,20411,20380,20358,20345,20320,20294,20282,35.10653923,129.0322797
부산광역시 서구,52487,52368,52230,52251,52319,52341,52313,52216,52179,52306,52358,52341,35.09811743,129.0242148
부산광역시 동구,43376,43453,43844,44003,44007,44003,44016,43942,43821,43684,43603,43509,35.12951925,129.0454126
부산광역시 영도구,57482,57304,57150,57014,56867,56700,56583,56422,56298,56128,55985,55846,35.09140559,129.0678947
부산광역시 부산진구,173108,172815,172634,172703,172803,172757,172953,173014,172829,173254,173709,173920,35.16304228,129.0530903
부산광역시 동래구,132401,132345,132743,132883,132867,132759,132823,132551,132456,132262,132022,131735,35.1967203,129.0930973
부산광역시 남구,134125,133698,133353,133034,132724,132436,132209,131948,131745,131533,131310,131037,35.1367524,129.0844303
부산광역시 북구,144089,143726,143363,143102,143042,142725,142426,141959,141698,141291,140976,140527,35.19746596,128.9902986
부산광역시 해운대구,196037,195730,195405,195412,194943,194638,194573,194137,193893,193899,193777,193618,35.16335254,129.1638847
부산광역시 사하구,159764,159437,159079,158716,158447,158222,157896,157389,156796,156217,155766,155228,35.1045808,128.9749752
부산광역시 금정구,116818,116606,116174,115861,115716,115428,114941,114665,114368,114052,113883,113595,35.2430003,129.0921739
부산광역시 강서구,67353,67557,67778,67825,68009,68116,68208,68912,69941,70513,70896,71245,35.21241036,128.9804872
부산광역시 연제구,101486,101738,101595,101425,101258,101066,100984,101338,101407,101317,101023,100700,35.17640584,129.0796413
부산광역시 수영구,83525,83801,83806,83743,83672,83688,83573,83686,83830,83696,83576,83573,35.14574351,129.1131838
부산광역시 사상구,110022,109833,109636,109497,109279,109108,108906,108616,108367,108044,107721,107405,35.15280367,128.9911898
부산광역시 기장군,81621,82373,83008,83279,83765,84220,84829,85309,85581,85761,86156,86439,35.24482811,129.2222634
대구광역시 중구,37289,37184,37161,37064,37013,37036,37082,37118,37052,36968,36930,36799,35.86947505,128.6060564
대구광역시 동구,170284,169757,169683,169428,169113,168940,168899,169224,169170,168793,168712,168443,35.88681859,128.6355584
대구광역시 서구,87761,87544,87337,87167,86892,86639,86576,86481,86202,86015,85757,85572,35.87200214,128.5592204
대구광역시 남구,71342,71220,71248,71130,71070,70945,70816,70744,70576,70433,70450,70471,35.84618324,128.5973754
대구광역시 북구,217926,217534,217669,217681,217981,218514,218914,219016,219416,219603,219512,219197,35.88430565,128.5815912
대구광역시 수성구,208071,208070,208075,207610,207205,206873,206700,206555,206262,206015,205632,205293,35.85823498,128.6305627
대구광역시 달서구,281202,280670,280655,280296,279670,279227,278813,278341,277979,277231,276555,275626,35.82992525,128.5326441
대구광역시 달성군,130512,130385,130445,130523,130560,130641,130821,131183,131257,131388,131533,131708,35.77475899,128.4313244
인천광역시 중구,70468,70837,71205,71389,71667,71833,71985,72058,72174,72267,72385,72485,37.47393798,126.6215171
인천광역시 동구,32485,32421,32314,32239,32230,32101,31979,31856,31767,31701,31690,31575,37.4740331,126.6432655
인천광역시 미추홀구,205847,205288,204964,204942,204875,204638,204272,203663,203233,202816,202669,203638,37.46365763,126.6502865
인천광역시 연수구,182794,183851,184450,184733,185068,185258,186133,188008,189440,190662,191853,192570,37.41037273,126.678298
인천광역시 남동구,264835,264677,264508,264348,264071,263707,263176,262483,262068,261785,261423,260923,37.44725267,126.7314723
인천광역시 부평구,252799,251949,251023,250187,249482,248663,248030,247094,246296,245756,245186,244713,37.50724197,126.7218691
인천광역시 계양구,151252,150884,150492,150250,149977,149655,149306,148767,148443,148288,148225,147976,37.53757116,126.7377225
인천광역시 서구,274954,274946,274696,274644,274679,274761,274755,274487,274441,274290,274090,273778,37.54548073,126.6760045
인천광역시 강화군,34682,34663,34595,34609,34656,34617,34582,34585,34613,34603,34607,34644,37.74685272,126.4878739
인천광역시 옹진군,11633,11617,11592,11575,11602,11580,11619,11619,11630,11666,11667,11641,37.44668379,126.6368011
광주광역시 동구,48775,48775,48750,48743,49015,49091,49043,49005,49923,50495,50705,50810,35.14615419,126.9231381
광주광역시 서구,147877,147750,147355,147198,147074,146717,146518,146398,146067,145861,145703,145374,35.15217985,126.8899468
광주광역시 남구,105018,104972,104881,104745,104351,104128,104009,103846,103633,103526,103360,103257,35.13321296,126.9022115
광주광역시 북구,215098,214985,215039,215038,214894,215259,215251,215168,214717,214238,214023,213611,35.17438289,126.9121844
광주광역시 광산구,204163,204204,204435,204812,204966,204865,205039,205184,205105,204792,204579,204296,35.13977662,126.7937594
대전광역시 동구,114174,113883,113690,113487,113288,113088,112971,112774,112589,112333,112094,112416,36.31203163,127.4548059
대전광역시 중구,118757,118636,118361,118212,117992,117801,117592,117413,117205,116865,116718,116233,36.32576074,127.4213595
대전광역시 서구,236839,236972,236924,237012,237046,236945,236814,236763,236605,236113,235628,235112,36.35552081,127.3838132
대전광역시 유성구,176617,176706,176785,176924,177460,177640,177867,178001,178003,177833,177584,177240,36.36246979,127.3561992
대전광역시 대덕구,89872,89594,89419,89267,89154,88967,88764,88596,88954,89408,89677,89698,36.34692581,127.4155614
울산광역시 중구,113235,112874,112512,112157,111885,111559,111380,111137,110913,110780,110500,110201,35.56970355,129.3327733
울산광역시 남구,164993,165069,164896,164885,164865,164689,164493,164160,163939,163727,163513,163198,35.54394782,129.330126
울산광역시 동구,83217,83004,82841,82795,82706,82633,82507,82449,82303,82261,82126,81999,35.50516123,129.4167348
울산광역시 북구,112773,112835,112967,112960,113001,113189,113253,113233,113315,113337,113325,113392,35.582905,129.3612179
울산광역시 울주군,115015,114844,114911,115105,114977,114869,114900,114943,114917,114858,114841,114918,35.52252665,129.2425116
세종특별자치시 세종특별자치시,170729,171403,171951,172176,172269,172234,172660,173183,173613,175135,176336,177568,36.48045322,127.2892442
경기도 수원시,601097,600958,600550,600616,600154,599868,599719,599101,598549,597863,597612,597076,37.26355925,127.0285973
경기도 성남시,466582,466306,466115,466119,465640,465307,465033,465801,466232,466057,465702,465407,37.42022748,127.1266546
경기도 의정부시,222611,223110,223534,223765,224100,224416,224479,224985,225715,226232,226656,227342,37.73825019,127.033733
경기도 안양시,279857,278678,278194,277727,276997,276140,275318,274506,273677,273030,272550,271936,37.39453744,126.9568463
경기도 부천시,411912,411044,410853,410678,410257,409982,409371,408411,407881,407401,406839,406023,37.50375321,126.7658326
경기도 광명시,156095,156129,156128,155900,155249,154425,153575,152384,150994,149478,148104,147278,37.47867555,126.8646736
경기도 평택시,265037,266206,267360,268331,269109,270183,271051,271992,273077,274461,275968,277617,36.99245752,127.112695
경기도 동두천시,47276,47156,47048,47015,46946,46951,46904,46912,46863,46846,46959,47038,37.90370032,127.061145
경기도 안산시,333471,333839,334625,335033,335253,335477,335259,335082,334987,334914,335365,335804,37.32203062,126.8308388
경기도 고양시,523803,524883,525756,526681,527304,527663,527701,527215,526928,527169,527834,528480,37.65830361,126.832016
경기도 과천시,28650,28616,28633,29341,29872,30125,30296,30374,30431,30459,30466,31068,37.42927348,126.9875979
경기도 구리시,98858,98807,98873,98816,98734,98503,98386,98262,98260,98145,98033,97939,37.5944714,127.1297639
경기도 남양주시,350058,350840,351413,351837,351990,352439,353217,353465,353701,354477,355027,355197,37.61055247,127.1711945
경기도 오산시,117148,117239,117359,117610,117796,117949,118057,118304,118568,118665,118706,118785,37.14993516,127.0770233
경기도 시흥시,248693,249307,249786,250312,250780,251904,253293,255745,257762,258939,260233,261730,37.38014281,126.8028693
경기도 군포시,136990,136998,137040,137034,137001,137037,137053,136823,136530,136329,136130,135834,37.36160744,126.9352653
경기도 의왕시,80957,81709,82016,82049,81782,81480,81175,81006,81504,81603,81584,81470,37.34496964,126.9687218
경기도 하남시,137533,138362,139324,140443,141301,142312,142973,143555,144433,145167,146255,147424,37.53923662,127.2145653
경기도 용인시,526823,527799,528764,530251,531727,532935,533772,534140,534153,533921,533488,532847,37.24071642,127.177274
경기도 파주시,230458,230409,230790,231142,231256,231522,231825,232919,233949,234915,235537,236049,37.75946605,126.7803264
경기도 이천시,111284,111272,111554,111858,112430,113002,113271,113658,113655,113667,113668,112947,37.27224558,127.435023
경기도 안성시,94249,94316,94481,94781,95278,95447,95575,95880,96122,96241,96313,96355,37.00786318,127.2798342
경기도 김포시,219805,220617,222353,223443,224224,225141,226602,229922,232501,234117,235230,237507,37.61533178,126.7154295
경기도 화성시,424061,425993,428761,431049,432499,433894,435377,437083,439243,440954,442631,443841,37.19943362,126.8315556
경기도 광주시,191127,191421,191945,192208,192894,193232,193796,194146,194524,194783,194991,195298,37.4294162,127.2551636
경기도 양주시,112770,112854,113515,113980,114236,114757,115695,116194,116428,116719,116847,116916,37.78529546,127.04579
경기도 포천시,78129,77972,78050,78234,78242,78233,78166,78194,78196,78066,78012,77905,37.89490568,127.200311
경기도 여주시,56388,56378,56415,56492,56545,56582,56600,56651,56689,56710,56728,56838,37.29818024,127.6366015
경기도 연천군,22948,22882,22858,22882,22930,22851,22834,22813,22827,22820,22801,22799,38.09636868,127.0750663
경기도 가평군,31986,31976,31990,32067,32175,32242,32247,32228,32205,32168,32192,32156,37.8312274,127.509577
경기도 양평군,58654,58630,58676,58837,58902,59048,59192,59475,59493,59533,59600,59563,37.49165875,127.4874649
강원도 춘천시,138806,139015,138977,138867,138877,138835,138901,139086,139184,139320,139428,139576,37.88126781,127.7299743
강원도 원주시,173891,174222,174379,174467,174701,174812,175077,175152,175217,175367,175624,175939,37.34200542,127.9196968
강원도 강릉시,105775,105698,105665,105639,105604,105593,105699,105651,105704,105664,105726,105794,37.75192033,128.8758988
강원도 동해시,45782,45676,45731,45698,45769,45832,45847,45887,45906,45947,45930,45991,37.52501602,129.1144366
강원도 태백시,22056,21991,21949,21856,21847,21839,21804,21749,21741,21717,21685,21640,37.16407866,128.9857267
강원도 속초시,40470,40412,40398,40393,40436,40583,40668,40742,40828,40887,40931,40965,38.20736378,128.5922346
