행정구역,2021년1월_여자 인구수,2021년2월_여자 인구수,2021년3월_여자 인구수,2021년4월_여자 인구수,2021년5월_여자 인구수,2021년6월_여자 인구수,2021년7월_여자 인구수,2021년8월_여자 인구수,2021년9월_여자 인구수,2021년10월_여자 인구수,2021년11월_여자 인구수,2021년12월_여자 인구수,위도,경도
서울특별시 종로구,76597,76512,75652,75546,75173,75044,74882,74836,74846,74794,74680,74500,37.57364689,126.978984
서울특별시 중구,63916,63818,63701,63690,63027,62997,63006,62984,63005,62979,62930,62869,37.5639284,126.9975517
서울특별시 용산구,119345,119467,118832,118717,118021,117430,117268,116757,116344,116106,115956,115743,37.53253057,126.9907138
서울특별시 성동구,149952,149633,149400,149257,148298,148120,147892,147697,147530,147216,146890,146610,37.56361329,127.0369234
서울특별시 광진구,179103,178713,177645,177451,177351,177248,177072,176757,176559,176389,176127,175938,37.53857836,127.0821862
서울특별시 동대문구,172697,172617,170980,170837,170770,170705,170694,170717,170763,170696,170725,170754,37.57441406,127.0398434
서울특별시 중랑구,199542,199268,198289,198058,197553,197284,197073,196851,196722,196617,196362,196238,37.60648307,127.0931308
서울특별시 성북구,226561,226678,224924,224716,224581,224448,224357,224104,224036,223773,223334,222950,37.58960402,127.0167645
서울특별시 강북구,157665,157212,155772,155589,155330,155103,154876,154511,154274,154038,153792,153477,37.6399466,127.0255077
서울특별시 도봉구,166178,165828,164907,164657,164405,164285,164024,163688,163506,163329,163149,162879,37.66898579,127.0470495
서울특별시 노원구,270089,269437,268336,267895,267523,267278,266948,266374,265935,265479,265093,264903,37.65423107,127.0565938
서울특별시 은평구,249396,249018,247591,247397,247647,247787,247669,247450,247229,246855,246913,246849,37.60291898,126.929256
서울특별시 서대문구,162509,162224,160827,160561,160350,160226,160115,159919,159861,159632,159453,159125,37.57943924,126.9365268
서울특별시 마포구,196534,196459,194894,195527,195776,195932,195894,195849,195784,195710,195513,195401,37.56628642,126.9014899
서울특별시 양천구,230965,231481,230667,230404,230110,229852,229616,229182,228935,228772,228455,228088,37.51714651,126.8665429
서울특별시 강서구,299718,299813,298876,299114,299076,299159,298916,298656,298487,298329,298165,298023,37.55110585,126.8495849
서울특별시 구로구,204275,203955,203040,202746,202552,202232,202031,201638,201479,201421,201317,201217,37.49570011,126.8876391
서울특별시 금천구,114493,114340,113522,113428,113531,113677,113966,114045,114056,114152,114265,114284,37.45695405,126.895379
서울특별시 영등포구,192209,192414,190898,191044,191013,190939,190976,191129,191122,191134,191001,190911,37.52652266,126.8962345
서울특별시 동작구,201690,201326,200685,200640,200454,200230,200196,200048,199831,199383,199341,199057,37.51261701,126.9397997
서울특별시 관악구,246322,245902,244255,243798,243608,243396,243155,242996,242809,242513,242060,241708,37.47828858,126.9514609
서울특별시 서초구,221610,221137,219696,219243,218636,218244,218187,217846,217217,216613,215757,215245,37.48375739,127.0326987
서울특별시 강남구,280889,280648,278916,278336,277738,277236,276730,277882,278095,278405,278238,277995,37.51768528,127.047386
서울특별시 송파구,345274,344472,342364,341786,341465,341139,340884,341356,341601,341466,341245,340992,37.5146405,127.105894
서울특별시 강동구,234441,235952,236291,236563,236647,236557,236549,236215,236161,235997,235829,235662,37.53028931,127.1237639
부산광역시 중구,21280,21289,21201,21189,21144,20762,20804,20851,20845,20838,20779,20769,35.10653923,129.0322797
부산광역시 서구,55683,55630,54868,54924,54965,54912,54838,54688,54601,54473,54416,54311,35.09811743,129.0242148
