행정구역,2022년1월_총인구수,2022년2월_총인구수,2022년3월_총인구수,2022년4월_총인구수,2022년5월_총인구수,2022년6월_총인구수,2022년7월_총인구수,2022년8월_총인구수,2022년9월_총인구수,2022년10월_총인구수,2022년11월_총인구수,2022년12월_총인구수,위도,경도
종로구,144543,144575,144275,144005,143850,143624,143547,143499,141978,141861,141650,141379,37.57364689,126.978984
중구,122315,122167,122173,122087,122054,122088,122138,121960,120969,120648,120545,120437,37.5639284,126.9975517
용산구,222573,222413,222169,222009,222083,222263,222262,222230,219275,219102,218945,218650,37.53253057,126.9907138
성동구,285516,285137,285073,284573,284173,283821,283618,283603,282250,281694,281370,281000,37.56361329,127.0369234
광진구,340002,340494,340707,340396,340062,339893,339853,339567,338257,337900,337713,337416,37.53857836,127.0821862
동대문구,337419,337881,337982,337570,337443,337330,337198,337233,337106,337273,337241,336644,37.57441406,127.0398434
중랑구,387598,388606,389043,388941,388736,388509,388307,387840,386390,385976,385638,385318,37.60648307,127.0931308
성북구,430074,431892,433150,433331,433531,433559,433583,433386,431827,431581,431047,430397,37.58960402,127.0167645
강북구,298727,298074,297384,296942,296726,296653,296489,296073,294876,294429,293984,293660,37.6399466,127.0255077
도봉구,317150,316631,316098,315522,315162,314791,314662,313835,312788,312427,312053,311694,37.66898579,127.0470495
노원구,510805,510527,510486,509658,508867,508066,507575,507076,505503,505058,504609,503734,37.65423107,127.0565938
은평구,473122,472640,472259,473131,473669,473674,473529,472954,470289,468988,467851,466746,37.60291898,126.929256
서대문구,305113,305793,305866,305721,305615,305623,305716,306253,305149,305113,305541,306337,37.57943924,126.9365268
마포구,368617,368560,368331,367613,367474,367584,367473,367190,365266,364698,364374,364638,37.56628642,126.9014899
양천구,446895,446478,446182,445662,444925,444548,444213,443847,442145,441749,441550,440881,37.51714651,126.8665429
강서구,574001,573531,573046,572648,572959,573045,572814,572230,570368,570011,569456,569166,37.55110585,126.8495849
구로구,396515,396221,396017,395555,395146,394850,394745,394246,393181,394212,394811,395315,37.49570011,126.8876391
금천구,230881,230856,231098,231150,231427,231565,231522,231356,230504,230156,229890,229642,37.45695405,126.895379
영등포구,376949,376884,376740,376465,376290,376437,376661,377295,376216,375849,375785,375675,37.52652266,126.8962345
동작구,385478,385490,386017,385982,385755,385898,385746,385379,383637,382747,381704,380596,37.51261701,126.9397997
관악구,485610,486209,486375,486361,486686,486946,487172,487629,486787,487201,487038,486752,37.47828858,126.9514609
서초구,411539,410682,409823,408918,408133,407672,407346,406565,405076,404902,404704,404325,37.48375739,127.0326987
강남구,533173,533286,532577,532049,531744,531777,532198,532500,530103,529946,529698,529102,37.51768528,127.047386
송파구,658859,661452,662607,662963,662960,662961,663070,662599,660211,659788,659381,658801,37.5146405,127.105894
강동구,462452,461972,461300,461228,461417,461630,461774,462109,460617,460413,460258,460067,37.53028931,127.1237639
중구,40537,40582,40596,40585,40537,40455,40342,40297,40117,39936,39840,39689,35.10653923,129.0322797
서구,104863,104618,104323,103961,103810,104340,104755,105386,105380,105358,105286,105192,35.09811743,129.0242148
동구,87906,88245,88283,88257,88222,88087,87851,87701,87103,86948,86670,86462,35.12951925,129.0454126
영도구,110425,109991,109660,109407,109460,109395,109327,109131,108699,108505,108294,108156,35.09140559,129.0678947
부산진구,352462,351764,351154,351022,350977,350999,351436,351682,351125,353568,355302,355917,35.16304228,129.0530903
동래구,270338,273802,274134,273976,273996,274491,274769,274638,274136,273790,273447,273226,35.1967203,129.0930973
남구,261209,260624,260581,260617,260261,259735,259135,258660,257934,257147,256647,256333,35.1367524,129.0844303
북구,282535,281749,281198,280852,280647,280511,280268,280116,279964,279770,279303,278857,35.19746596,128.9902986
해운대구,395788,394792,393809,393130,392110,391311,390782,389841,388393,387840,387297,386785,35.16335254,129.1638847
사하구,305922,306098,305762,305556,305393,305008,304583,304029,303143,302844,302450,301987,35.1045808,128.9749752
금정구,226875,226029,225608,225033,224746,224173,223713,223430,222783,222264,221647,221256,35.2430003,129.0921739
강서구,143098,143227,143429,143638,143914,144047,144071,143925,143727,143611,143360,143207,35.21241036,128.9804872
연제구,207342,207178,206932,206677,206506,206145,205895,205515,204869,204377,203871,203536,35.17640584,129.0796413
수영구,174867,174838,174661,174633,174665,174739,174709,174596,174275,174694,174907,174806,35.14574351,129.1131838
사상구,207772,207138,206804,206365,206099,205765,205287,204769,203957,203331,203496,203789,35.15280367,128.9911898
기장군,176935,176721,176570,176505,176824,177536,177672,177728,178221,178303,178459,178614,35.24482811,129.2222634
중구,74786,74710,75704,77842,78703,78984,79014,78923,78768,79241,79722,80199,35.86947505,128.6060564
동구,341710,341730,341498,341142,341070,341126,340847,340440,340171,340213,340050,339530,35.88681859,128.6355584
서구,164127,163588,163042,162325,161790,161542,161928,161802,161169,160802,160343,159827,35.87200214,128.5592204
남구,142753,142558,142437,141805,141520,141285,141586,141643,141590,141822,141773,141519,35.84618324,128.5973754
북구,437023,436613,437284,436386,435869,435131,434250,433551,432558,432087,431703,430912,35.88430565,128.5815912
수성구,416706,416496,415829,415694,415306,414917,414439,413675,412775,412302,411794,411553,35.85823498,128.6305627
달서구,544366,543469,542328,540693,539528,539024,538838,538727,537705,537179,536927,536989,35.82992525,128.5326441
달성군,262387,261931,262372,262686,262890,263297,263218,263175,262999,263206,263307,263162,35.77475899,128.4313244
중구,144088,144935,145672,146380,147093,147705,148626,149164,150353,151310,152265,152931,37.47393798,126.6215171
