행정구역,2022년1월_남자 인구수,2022년2월_남자 인구수,2022년3월_남자 인구수,2022년4월_남자 인구수,2022년5월_남자 인구수,2022년6월_남자 인구수,2022년7월_남자 인구수,2022년8월_남자 인구수,2022년9월_남자 인구수,2022년10월_남자 인구수,2022년11월_남자 인구수,2022년12월_남자 인구수,위도,경도
서울특별시 종로구,70117,70092,69911,69722,69638,69513,69463,69408,68652,68601,68488,68395,37.57364689,126.978984
서울특별시 중구,59510,59446,59448,59417,59368,59364,59360,59309,58812,58643,58610,58563,37.5639284,126.9975517
서울특별시 용산구,107050,106881,106735,106645,106666,106743,106743,106686,105385,105303,105222,105087,37.53253057,126.9907138
서울특별시 성동구,139135,138866,138847,138581,138373,138162,138046,138050,137351,137075,136901,136633,37.56361329,127.0369234
서울특별시 광진구,163993,164226,164346,164191,164091,163920,163882,163692,163038,162844,162699,162541,37.53857836,127.0821862
서울특별시 동대문구,166657,166852,166823,166554,166447,166348,166236,166170,166051,166113,166070,165755,37.57441406,127.0398434
서울특별시 중랑구,191221,191682,191835,191741,191575,191433,191193,190931,190115,189869,189747,189537,37.60648307,127.0931308
서울특별시 성북구,207333,208211,208691,208762,208802,208790,208745,208575,207715,207584,207269,206961,37.58960402,127.0167645
서울특별시 강북구,145500,145066,144643,144395,144228,144154,144107,143861,143219,143000,142776,142567,37.6399466,127.0255077
서울특별시 도봉구,154326,154046,153716,153445,153252,153014,152937,152495,152019,151811,151562,151398,37.66898579,127.0470495
서울특별시 노원구,245896,245744,245663,245222,244807,244387,244138,243842,243071,242826,242634,242145,37.65423107,127.0565938
서울특별시 은평구,226269,225941,225640,226009,226182,226148,226065,225732,224424,223764,223198,222592,37.60291898,126.929256
서울특별시 서대문구,145759,146045,145958,145839,145681,145663,145711,145948,145374,145287,145442,145816,37.57943924,126.9365268
서울특별시 마포구,173323,173282,173073,172724,172574,172569,172551,172317,171345,171062,170915,171043,37.56628642,126.9014899
서울특별시 양천구,219023,218786,218554,218298,217920,217704,217475,217268,216359,216133,216070,215682,37.51714651,126.8665429
서울특별시 강서구,276132,275710,275422,275101,275199,275233,275140,274771,273820,273644,273357,273203,37.55110585,126.8495849
서울특별시 구로구,195351,195164,195002,194763,194518,194304,194211,193935,193323,193834,194067,194274,37.49570011,126.8876391
서울특별시 금천구,116487,116449,116568,116598,116756,116811,116766,116653,116209,116062,115934,115786,37.45695405,126.895379
서울특별시 영등포구,185964,185824,185696,185520,185354,185460,185518,185754,185099,184845,184766,184660,37.52652266,126.8962345
서울특별시 동작구,186452,186397,186648,186558,186455,186506,186466,186268,185490,185098,184596,184030,37.51261701,126.9397997
서울특별시 관악구,243967,244287,244409,244499,244628,244722,244925,245176,244810,244980,244969,244748,37.47828858,126.9514609
서울특별시 서초구,196611,196211,195806,195389,195056,194819,194627,194249,193548,193465,193333,193159,37.48375739,127.0326987
서울특별시 강남구,255107,255159,254866,254517,254347,254333,254498,254730,253628,253570,253449,253072,37.51768528,127.047386
서울특별시 송파구,317556,318851,319407,319535,319461,319397,319423,319164,317972,317743,317464,317180,37.5146405,127.105894
서울특별시 강동구,226892,226605,226203,226057,226062,226158,226179,226311,225532,225303,225243,225221,37.53028931,127.1237639
부산광역시 중구,19762,19756,19754,19745,19739,19695,19633,19602,19503,19377,19323,19239,35.10653923,129.0322797
부산광역시 서구,50735,50597,50454,50263,50156,50385,50588,50904,50917,50911,50866,50801,35.09811743,129.0242148
부산광역시 동구,42975,43132,43152,43114,43073,43010,42888,42811,42590,42512,42381,42249,35.12951925,129.0454126
부산광역시 영도구,54372,54185,54032,53883,53912,53890,53854,53773,53519,53391,53300,53223,35.09140559,129.0678947
부산광역시 부산진구,169873,169496,169185,169057,168938,168924,169171,169220,168896,170113,170933,171141,35.16304228,129.0530903
부산광역시 동래구,131400,132969,133108,132996,132891,133105,133237,133118,132849,132632,132440,132296,35.1967203,129.0930973
부산광역시 남구,127568,127295,127279,127312,127119,126854,126545,126282,125901,125514,125279,125118,35.1367524,129.0844303
부산광역시 북구,139412,139012,138719,138535,138423,138319,138159,138068,137948,137808,137544,137274,35.19746596,128.9902986
부산광역시 해운대구,190236,189702,189199,188911,188341,187906,187632,187116,186392,186088,185775,185514,35.16335254,129.1638847
부산광역시 사하구,152112,152207,152051,151933,151882,151650,151431,151136,150648,150467,150279,150009,35.1045808,128.9749752
부산광역시 금정구,110929,110501,110301,110036,109848,109562,109328,109221,108883,108623,108294,108085,35.2430003,129.0921739
부산광역시 강서구,74123,74161,74223,74360,74534,74626,74610,74559,74511,74470,74332,74248,35.21241036,128.9804872
부산광역시 연제구,99861,99714,99549,99362,99264,99094,98940,98721,98338,98070,97791,97604,35.17640584,129.0796413
부산광역시 수영구,82492,82451,82299,82285,82297,82321,82270,82182,82009,82180,82218,82144,35.14574351,129.1131838
부산광역시 사상구,104769,104446,104217,103983,103841,103672,103386,103106,102656,102331,102404,102544,35.15280367,128.9911898
부산광역시 기장군,87588,87487,87436,87395,87567,87931,87971,88002,88224,88262,88327,88426,35.24482811,129.2222634
대구광역시 중구,35926,35870,36335,37357,37767,37920,37950,37880,37802,38004,38215,38460,35.86947505,128.6060564
대구광역시 동구,167954,167994,167817,167669,167633,167608,167446,167192,167111,167121,167053,166741,35.88681859,128.6355584
대구광역시 서구,82007,81680,81419,81051,80748,80623,80783,80685,80344,80125,79869,79580,35.87200214,128.5592204
대구광역시 남구,68566,68464,68361,68045,67867,67750,67857,67896,67896,67971,67967,67842,35.84618324,128.5973754
대구광역시 북구,217416,217176,217599,217065,216758,216414,215982,215620,215056,214817,214593,214151,35.88430565,128.5815912
대구광역시 수성구,201531,201368,201055,200938,200715,200508,200275,199865,199411,199183,198904,198731,35.85823498,128.6305627
대구광역시 달서구,268134,267631,267015,266123,265471,265202,265089,264982,264360,264106,263940,263961,35.82992525,128.5326441
대구광역시 달성군,133133,132856,133031,133203,133350,133546,133463,133444,133346,133401,133483,133399,35.77475899,128.4313244
인천광역시 중구,74902,75334,75700,76038,76413,76777,77212,77481,78068,78591,79050,79359,37.47393798,126.6215171
인천광역시 동구,30841,30647,30427,30149,29892,29742,29646,29538,29421,29502,29603,29691,37.4740331,126.6432655
인천광역시 미추홀구,205146,205029,204926,204830,205062,204996,204857,205350,204987,204936,204666,204354,37.46365763,126.6502865
인천광역시 연수구,193216,192816,192994,192852,192562,192281,192010,191747,191607,191609,191595,191405,37.41037273,126.678298
인천광역시 남동구,257279,256765,256441,256042,255275,254637,254161,253164,252454,252102,251761,251394,37.44725267,126.7314723
인천광역시 부평구,240164,239739,239260,238881,239886,240774,241434,242032,241410,241434,241344,241285,37.50724197,126.7218691
인천광역시 계양구,147196,146824,146537,146343,146230,145966,145702,145342,144736,144500,144233,143881,37.53757116,126.7377225
인천광역시 서구,281427,283761,285395,286713,287422,288573,290424,291993,292503,293656,295159,297120,37.54548073,126.6760045
인천광역시 강화군,34896,34923,34932,34963,34993,35006,35021,34990,34946,34899,34904,34918,37.74685272,126.4878739
인천광역시 옹진군,11596,11594,11660,11703,11693,11680,11710,11733,11764,11797,11788,11768,37.44668379,126.6368011
광주광역시 동구,51014,50943,50834,50780,50776,50901,51019,51904,52173,52235,52287,52305,35.14615419,126.9231381
광주광역시 서구,142697,142303,141932,141697,141389,141070,140896,141100,141076,140932,140850,140726,35.15217985,126.8899468
광주광역시 남구,103653,103497,103265,103227,103427,103419,103306,102917,102536,102250,102042,101881,35.13321296,126.9022115
광주광역시 북구,211893,211986,211901,211625,211436,211247,211137,210550,209989,210413,210566,210416,35.17438289,126.9121844
광주광역시 광산구,203780,203470,203357,203195,203034,203048,202947,202619,202474,202289,202070,201971,35.13977662,126.7937594
대전광역시 동구,111632,111522,111261,110985,111265,111349,111260,111184,111038,110918,110788,110590,36.31203163,127.4548059
대전광역시 중구,113073,112856,112944,112971,112787,112994,113004,112685,112165,112058,111878,111703,36.32576074,127.4213595
대전광역시 서구,232482,232428,232247,231995,231667,231167,230978,231500,231448,231541,231423,230998,36.35552081,127.3838132
대전광역시 유성구,177638,177825,177768,178115,178219,178251,178438,178602,178734,179101,179518,180166,36.36246979,127.3561992
대전광역시 대덕구,89201,89181,89141,88997,88902,88756,88686,88515,88219,88127,88002,87788,36.34692581,127.4155614
울산광역시 중구,107574,107338,107106,106981,106713,106499,106362,106090,105786,105633,105430,105257,35.56970355,129.3327733
울산광역시 남구,159866,159629,159320,159223,159332,159220,158978,158726,158484,158411,158441,158374,35.54394782,129.330126
울산광역시 동구,80358,80173,80087,79975,79863,79728,79643,79515,79373,79365,79337,79162,35.50516123,129.4167348
울산광역시 북구,113418,113338,113319,113264,113111,113131,113082,112951,112939,112940,112961,112993,35.582905,129.3612179
울산광역시 울주군,114723,114687,114612,114541,114600,114574,114550,114585,114666,114611,114587,114582,35.52252665,129.2425116
세종특별자치시 세종특별자치시,186907,187858,188356,188778,189302,189723,190038,190276,190541,190683,190987,191389,36.48045322,127.2892442
경기도 수원시,596225,596672,597078,597105,596940,596982,597003,597881,598490,599198,599508,599619,37.26355925,127.0285973
경기도 성남시,461251,461160,460404,459808,459333,458946,458652,457808,456041,455970,455768,456882,37.42022748,127.1266546
경기도 의정부시,228582,228565,228528,228485,228500,228370,228267,228406,227867,227935,228148,228107,37.73825019,127.033733
경기도 안양시,271291,271807,271787,271732,271772,271606,271483,271203,270778,270992,270992,270878,37.39453744,126.9568463
경기도 부천시,398884,398181,397553,397002,396345,395747,395197,394605,393010,392472,391769,391102,37.50375321,126.7658326
경기도 광명시,144045,143619,143260,143275,143210,143076,142982,142737,142236,141961,141784,141632,37.47867555,126.8646736
경기도 평택시,294957,295924,296567,297227,298058,299111,299953,300748,301038,301796,302598,303283,36.99245752,127.112695
경기도 동두천시,46663,46607,46590,46540,46501,46398,46318,46252,45934,45875,45737,45673,37.90370032,127.061145
경기도 안산시,334331,334081,333951,333727,333233,332725,332307,331906,331241,330483,329635,328940,37.32203062,126.8308388
경기도 고양시,527754,527475,527547,527548,527265,526937,526724,526156,524853,524837,524999,525741,37.65830361,126.832016
경기도 과천시,37479,38213,38430,38528,38548,38605,38655,38666,38467,38251,38224,38416,37.42927348,126.9875979
경기도 구리시,95043,94831,94779,94668,94493,94318,94287,94045,93716,93626,93537,93442,37.5944714,127.1297639
경기도 남양주시,365168,365147,365062,365264,365710,366068,366308,366331,366306,366348,366323,366261,37.61055247,127.1711945
