행정구역,2019년01월_총인구수,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년02월_총인구수,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년03월_총인구수,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년04월_총인구수,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년05월_총인구수,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년06월_총인구수,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년07월_총인구수,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년08월_총인구수,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년09월_총인구수,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년10월_총인구수,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년11월_총인구수,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년12월_총인구수,2019년12월_남자 인구수,2019년12월_여자 인구수,위도,경도
서울특별시 서초구,433620,207687,225933,433565,207645,225920,432762,207206,225556,432336,206997,225339,431751,206695,225056,431360,206478,224882,431423,206406,225017,431353,206364,224989,431027,206185,224842,430801,206091,224710,430697,206017,224680,430826,206039,224787,37.48375739,127.0326987
서울특별시 강남구,542154,259553,282601,542341,259712,282629,541854,259510,282344,542108,259575,282533,542344,259616,282728,542498,259645,282853,542576,259625,282951,543222,259968,283254,544028,260305,283723,544712,260605,284107,545024,260695,284329,545169,260806,284363,37.51768528,127.047386
서울특별시 송파구,670892,325474,345418,675450,327592,347858,678521,329046,349475,679824,329655,350169,679842,329569,350273,679247,329200,350047,678553,328786,349767,677702,328287,349415,677489,328073,349416,676328,327430,348898,675843,327185,348658,675961,327164,348797,37.5146405,127.105894
서울특별시 강동구,426865,211381,215484,426178,210962,215216,425267,210371,214896,424727,210111,214616,424417,209865,214552,424235,209746,214489,425392,210327,215065,425953,210561,215392,426219,210593,215626,430684,212784,217900,433251,214047,219204,436067,215335,220732,37.53028931,127.1237639
부산광역시 중구,42665,20936,21729,42634,20926,21708,42585,20897,21688,42543,20890,21653,42404,20842,21562,42389,20819,21570,42350,20799,21551,42175,20711,21464,42085,20664,21421,42010,20633,21377,41983,20607,21376,41910,20557,21353,35.10653923,129.0322797
부산광역시 서구,110421,53934,56487,110384,53873,56511,110298,53775,56523,110052,53596,56456,109820,53469,56351,109546,53294,56252,109409,53209,56200,109131,53048,56083,108946,52951,55995,108735,52870,55865,108449,52730,55719,108229,52627,55602,35.09811743,129.0242148
부산광역시 동구,86828,42809,44019,86671,42709,43962,86603,42674,43929,86485,42633,43852,86347,42557,43790,86206,42454,43752,86145,42445,43700,86939,42816,44123,87437,43033,44404,87796,43204,44592,87903,43234,44669,88165,43327,44838,35.12951925,129.0454126
부산광역시 영도구,119734,59204,60530,119494,59081,60413,119222,58918,60304,119045,58829,60216,118790,58680,60110,118588,58575,60013,118303,58425,59878,117978,58255,59723,117662,58096,59566,117316,57947,59369,117040,57790,59250,116711,57629,59082,35.09140559,129.0678947
부산광역시 부산진구,361565,175944,185621,360885,175433,185452,360140,174998,185142,359247,174503,184744,358815,174251,184564,358864,174269,184595,358854,174181,184673,359010,174209,184801,359022,174133,184889,358685,173931,184754,358302,173714,184588,357880,173446,184434,35.16304228,129.0530903
부산광역시 동래구,266502,130292,136210,266860,130476,136384,267232,130620,136612,267567,130754,136813,267572,130703,136869,267804,130738,137066,268097,130855,137242,268956,131262,137694,269739,131662,138077,270558,132001,138557,270910,132142,138768,271247,132295,138952,35.1967203,129.0930973
