행정구역,2020년01월_총인구수,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년02월_총인구수,2020년02월_남자 인구수,2020년02월_여자 인구수,2020년03월_총인구수,2020년03월_남자 인구수,2020년03월_여자 인구수,2020년04월_총인구수,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년05월_총인구수,2020년05월_남자 인구수,2020년05월_여자 인구수,2020년06월_총인구수,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년07월_총인구수,2020년07월_남자 인구수,2020년07월_여자 인구수,2020년08월_총인구수,2020년08월_남자 인구수,2020년08월_여자 인구수,2020년09월_총인구수,2020년09월_남자 인구수,2020년09월_여자 인구수,2020년10월_총인구수,2020년10월_남자 인구수,2020년10월_여자 인구수,2020년11월_총인구수,2020년11월_남자 인구수,2020년11월_여자 인구수,2020년12월_총인구수,2020년12월_남자 인구수,2020년12월_여자 인구수,위도,경도
서울특별시 종로구,151215,73688,77527,151309,73729,77580,151217,73704,77513,150936,73563,77373,150623,73407,77216,150383,73288,77095,150183,73214,76969,149962,73062,76900,149952,73024,76928,149703,72847,76856,149549,72741,76808,149384,72635,76749,37.57364689,126.978984
서울특별시 중구,126201,61946,64255,126259,61964,64295,126175,61839,64336,126126,61770,64356,126120,61747,64373,126092,61697,64395,125970,61644,64326,125990,61651,64339,125800,61526,64274,125641,61432,64209,125505,61363,64142,125240,61222,64018,37.5639284,126.9975517
서울특별시 용산구,229385,110701,118684,229677,110773,118904,229579,110667,118912,229369,110604,118765,229393,110537,118856,229431,110527,118904,229432,110438,118994,229362,110403,118959,229786,110604,119182,230044,110754,119290,230151,110776,119375,230040,110722,119318,37.53253057,126.9907138
서울특별시 성동구,300410,147020,153390,299797,146688,153109,299042,146300,152742,298249,145833,152416,297820,145567,152253,297397,145258,152139,296896,145030,151866,296183,144701,151482,295591,144444,151147,294895,144059,150836,294272,143745,150527,293556,143387,150169,37.56361329,127.0369234
서울특별시 광진구,351263,170164,181099,351032,170000,181032,350417,169568,180849,350016,169213,180803,349800,169049,180751,349574,168879,180695,349258,168766,180492,348647,168472,180175,348064,168095,179969,347615,167794,179821,347285,167626,179659,346682,167310,179372,37.53857836,127.0821862
서울특별시 동대문구,346080,171964,174116,346072,171835,174237,346156,171896,174260,345793,171621,174172,345815,171565,174250,345593,171392,174201,345156,171134,174022,344650,170926,173724,344416,170748,173668,343819,170320,173499,343377,170088,173289,342837,169769,173068,37.57441406,127.0398434
서울특별시 중랑구,396755,196803,199952,396314,196483,199831,395619,196076,199543,395072,195784,199288,394982,195693,199289,394414,195349,199065,394293,195227,199066,395788,195931,199857,395997,195981,200016,395572,195718,199854,395194,195469,199725,394702,195165,199537,37.60648307,127.0931308
서울특별시 성북구,442471,214247,228224,442483,214078,228405,442494,213926,228568,442174,213743,228431,442148,213614,228534,441812,213431,228381,441188,213033,228155,440395,212559,227836,439719,212151,227568,438973,211780,227193,438051,211289,226762,437153,210810,226343,37.58960402,127.0167645
서울특별시 강북구,313705,153058,160647,313289,152857,160432,312985,152747,160238,312691,152594,160097,312270,152333,159937,311773,152028,159745,311198,151707,159491,310555,151376,159179,309996,151117,158879,309245,150744,158501,308569,150423,158146,308055,150143,157912,37.6399466,127.0255077
서울특별시 도봉구,332753,162701,170052,332083,162327,169756,331238,161879,169359,330707,161581,169126,330149,161195,168954,329560,160855,168705,328822,160465,168357,328014,160089,167925,327248,159723,167525,326617,159356,167261,326082,159076,167006,325257,158620,166637,37.66898579,127.0470495
서울특별시 노원구,532662,257746,274916,531840,257265,274575,531037,256726,274311,530302,256344,273958,529617,256045,273572,528887,255624,273263,527981,255127,272854,526718,254463,272255,525486,253797,271689,524515,253219,271296,523708,252792,270916,523037,252383,270654,37.65423107,127.0565938
서울특별시 은평구,479457,231171,248286,479005,230767,248238,478019,230147,247872,477973,230057,247916,478029,230062,247967,479524,230640,248884,481184,231384,249800,481729,231508,250221,481546,231364,250182,481165,231163,250002,480617,230763,249854,479835,230279,249556,37.60291898,126.929256
서울특별시 서대문구,310353,149114,161239,311327,149432,161895,312642,150051,162591,312809,150069,162740,312869,150058,162811,312720,149920,162800,312264,149674,162590,312632,149803,162829,313212,149993,163219,312781,149791,162990,312325,149505,162820,312173,149360,162813,37.57943924,126.9365268
서울특별시 마포구,373951,176782,197169,374315,176889,197426,374570,176943,197627,374426,176856,197570,374837,176985,197852,374390,176664,197726,374036,176437,197599,373620,176174,197446,373508,176011,197497,372905,175699,197206,372320,175423,196897,371890,175150,196740,37.56628642,126.9014899
서울특별시 양천구,457887,224995,232892,457332,224702,232630,456339,224241,232098,457132,224563,232569,458181,225084,233097,457953,224908,233045,457543,224608,232935,456980,224271,232709,456240,223889,232351,455649,223601,232048,455058,223217,231841,454251,222824,231427,37.51714651,126.8665429
서울특별시 강서구,591599,286309,305290,590419,285619,304800,589302,285085,304217,588281,284543,303738,587553,284115,303438,586936,283697,303239,586279,283343,302936,584920,282647,302273,583544,281951,301593,582586,281422,301164,581909,281033,300876,580185,280034,300151,37.55110585,126.8495849
서울특별시 구로구,406751,201065,205686,406245,200854,205391,405837,200558,205279,405271,200239,205032,405030,200098,204932,405075,200098,204977,405260,200163,205097,405495,200251,205244,405579,200268,205311,405481,200195,205286,405194,200063,205131,404408,199673,204735,37.49570011,126.8876391
서울특별시 금천구,233066,118299,114767,232827,118145,114682,232583,118044,114539,232396,117935,114461,232425,117899,114526,232250,117762,114488,231939,117567,114372,232013,117497,114516,232157,117489,114668,232173,117429,114744,232003,117364,114639,231733,117226,114507,37.45695405,126.895379
서울특별시 영등포구,367916,182504,185412,370108,183468,186640,371903,184316,187587,372225,184446,187779,372568,184535,188033,373349,184905,188444,374097,185156,188941,375133,185603,189530,375630,185800,189830,376924,186417,190507,378276,187061,191215,379480,187647,191833,37.52652266,126.8962345
서울특별시 동작구,395636,191772,203864,395201,191433,203768,395014,191272,203742,394988,191207,203781,395180,191281,203899,395165,191211,203954,394905,191063,203842,394118,190754,203364,393554,190422,203132,392674,189990,202684,391896,189527,202369,391220,189152,202068,37.51261701,126.9397997
